Ticker,Name,Weight,Shares,Price
5 HK Equity,HSBC Holdings PLC,8.81357,19214.95864,51.95
1299 HK Equity,AIA Group Ltd,8.101645,12097.36585,75.85
700 HK Equity,Tencent Holdings Ltd,7.060014,2705.043822,295.6
3690 HK Equity,Meituan,6.942626,4636.295142,169.6
9988 HK Equity,Alibaba Group Holding Ltd,6.637208,8547.17886,87.95
939 HK Equity,China Construction Bank Corp,4.651939,108187.7939,4.87
388 HK Equity,Hong Kong Exchanges & Clearing Ltd,3.660368,1204.44505,344.2
941 HK Equity,China Mobile Ltd,2.807273,6138.017669,51.8
9618 HK Equity,JD.com Inc,2.783365,1443.413431,218.4
1398 HK Equity,ICBC,2.651124,73774.93787,4.07
2318 HK Equity,Ping An Insurance Group Co of China Ltd,2.442543,6330.440375,43.7
1211 HK Equity,BYD Co Ltd,2.168485,878.4,279.6
2269 HK Equity,Wuxi Biologics Cayman Inc,2.138631,3583.127461,67.6
3988 HK Equity,Bank of China Ltd,1.92888,79441.16258,2.75
1810 HK Equity,Xiaomi Corp,1.778562,17485.97053,11.52
883 HK Equity,CNOOC Ltd,1.509022,17858.98239,9.57
3968 HK Equity,China Merchants Bank Co Ltd,1.371282,3902.265996,39.8
2331 HK Equity,Li Ning Co Ltd,1.298614,2355.161242,62.45
1 HK Equity,CK Hutchison Holdings Ltd,1.233554,2684.17415,52.05
823 HK Equity,Link REIT,1.211983,2110.19385,65.05
16 HK Equity,Sun Hung Kai Properties Ltd,1.203154,1448.890137,94.05
669 HK Equity,Techtronic Industries Co Ltd,1.197785,1559.311774,87
2 HK Equity,CLP Holdings Ltd,1.186723,2021.160456,66.5
1113 HK Equity,CK Asset Holdings Ltd,0.964306,2003.971108,54.5
2319 HK Equity,China Mengniu Dairy Co Ltd,0.954991,3162.613968,34.2
2388 HK Equity,BOC Hong Kong Holdings Ltd,0.9132,3700.473093,27.95
175 HK Equity,Geely Automobile Holdings Ltd,0.903529,6012.507924,17.02
27 HK Equity,Galaxy Entertainment Group Ltd,0.893974,2179.779287,46.45
2688 HK Equity,ENN Energy Holdings Ltd,0.880793,791.100852,126.1
1109 HK Equity,China Resources Land Ltd,0.86981,3208.92281,30.7
11 HK Equity,Hang Seng Bank Ltd,0.856167,764.737094,126.8
3 HK Equity,Hong Kong & China Gas Co Ltd,0.796749,11195.92206,8.06
9633 HK Equity,Nongfu Spring Co Ltd,0.796591,2013.86656,44.8
2020 HK Equity,ANTA Sports Products Ltd,0.789571,1081.3316,82.7
386 HK Equity,China Petroleum & Chemical Corp,0.78111,24237.76667,3.65
291 HK Equity,China Resources Beer Holdings Co Ltd,0.754049,1622.088452,52.65
2628 HK Equity,China Life Insurance Co Ltd,0.748985,7441.175,11.4
9999 HK Equity,NetEase Inc,0.742499,614.727681,136.8
2382 HK Equity,Sunny Optical Technology Group Co Ltd,0.70062,712.952305,111.3
688 HK Equity,China Overseas Land & Investment Ltd,0.68152,3830.685262,20.15
981 HK Equity,SMIC,0.677384,4476.075838,17.14
66 HK Equity,MTR Corp Ltd,0.676715,1858.038754,41.25
1093 HK Equity,CSPC Pharmaceutical Group Ltd,0.655879,8949.914799,8.3
857 HK Equity,PetroChina Co Ltd,0.640833,21098.9,3.44
6 HK Equity,Power Assets Holdings Ltd,0.60692,1387.270075,49.55
2313 HK Equity,SHENZHOU INTL,0.570847,826.772318,78.2
1997 HK Equity,Wharf Real Estate Investment Co Ltd,0.54775,1669.925029,37.15
267 HK Equity,CITIC Ltd,0.543231,7272.565657,8.46
968 HK Equity,Xinyi Solar Holdings Ltd,0.524186,4890.347185,12.14
992 HK Equity,Lenovo Group Ltd,0.440165,7225.023368,6.9
1928 HK Equity,Sands China Ltd,0.437176,2832.616103,17.48
1177 HK Equity,Sino Biopharmaceutical Ltd,0.435948,11298.65654,4.37
1876 HK Equity,Budweiser Brewing Co APAC Ltd,0.395516,1986.50955,22.55
12 HK Equity,Henderson Land Development Co Ltd,0.353297,1452.4161,27.55
288 HK Equity,WH Group Ltd,0.343301,7056.620752,5.51
960 HK Equity,Longfor Group Holdings Ltd,0.336328,1822.595131,20.9
17 HK Equity,New World Development Co Ltd,0.323247,1384.148244,26.45
316 HK Equity,Orient Overseas International Ltd,0.31019,132.074659,266
1038 HK Equity,CK Infrastructure Holdings Ltd,0.271685,629.902736,48.85
868 HK Equity,Xinyi Glass Holdings Ltd,0.269694,2009.556523,15.2
6098 HK Equity,Country Garden Services Holdings Co Ltd,0.246686,2018.744941,13.84
101 HK Equity,Hang Lung Properties Ltd,0.237399,2024.667301,13.28
1044 HK Equity,Hengan International Group Co Ltd,0.229635,697.27255,37.3
881 HK Equity,Zhongsheng Group Holdings Ltd,0.213765,603.760215,40.1
762 HK Equity,China Unicom Hong Kong Ltd,0.209644,6119.624869,3.88
241 HK Equity,ALI HEALTH,0.187981,4731.232289,4.5
6862 HK Equity,Haidilao International Holding Ltd,0.185047,1393.5,15.04
2007 HK Equity,Country Garden Holdings Co Ltd,0.166675,8101.936831,2.33
1378 HK Equity,China Hongqiao Group Ltd,0.156064,2313.568056,7.64
