Ticker,Name,Weight,Shares,Price
RIL IS Equity,Reliance Industries Ltd,10.737448,3044.155349,2582.5
INFO IS Equity,Infosys Ltd,7.364289,3364.746848,1602.45
ICICIBC IS Equity,ICICI Bank Ltd,5.959056,5140.480969,848.75
HDFC IS Equity,Housing Development Finance Corp Ltd,5.638349,1721.291667,2398.3
TCS IS Equity,Tata Consultancy Services Ltd,4.236622,924.762843,3354.25
HUVR IS Equity,Hindustan Unilever Ltd,2.968374,822.356942,2642.8
BAF IS Equity,Bajaj Finance Ltd,2.649669,271.348968,7149.3999
AXSB IS Equity,Axis Bank Ltd,2.290603,2269.402441,739
BHARTI IS Equity,Bharti Airtel Ltd,2.146073,2196.810907,715.25
APNT IS Equity,Asian Paints Ltd,1.787415,383.58982,3411.6499
LT IS Equity,Larsen & Toubro Ltd,1.744355,688.433267,1855.15
MM IS Equity,Mahindra & Mahindra Ltd,1.507186,870.234784,1268.05
MSIL IS Equity,Maruti Suzuki India Ltd,1.465461,120.832024,8879.7002
HCLT IS Equity,HCL Technologies Ltd,1.411464,1085.466038,952.05
KMB IS Equity,Kotak Mahindra Bank Ltd,1.38737,555.570225,1828.35
ADANIT IS Equity,Adani Transmission Ltd,1.290398,274.952521,3436.1499
ATGL IS Equity,Adani Total Gas Ltd,1.258572,274.952521,3351.3999
ITC IS Equity,ITC Ltd,1.257048,2957.456775,311.2
SBIN IS Equity,State Bank of India,1.25478,1784.922307,514.7
SUNP IS Equity,Sun Pharmaceutical Industries Ltd,1.205536,959.710276,919.7
TTAN IS Equity,Titan Co Ltd,1.180352,355.114464,2433.6001
TATA IS Equity,Tata Steel Ltd,1.092887,7327.549326,109.2
TTMT IS Equity,Tata Motors Ltd,1.078412,1660.331004,475.55
ADE IS Equity,Adani Enterprises Ltd,1.061716,274.952521,2827.2
PWGR IS Equity,Power Grid Corp of India Ltd,0.9582,3138.953789,223.5
DMART IS Equity,Avenue Supermarts Ltd,0.940211,161.946173,4250.7002
ADANIGR IS Equity,Adani Green Energy Ltd,0.924938,312.802856,2164.95
NEST IS Equity,Nestle India Ltd,0.911183,33.745501,19769.5
UTCEM IS Equity,UltraTech Cement Ltd,0.91017,101.034796,6595.6499
TECHM IS Equity,Tech Mahindra Ltd,0.83985,582.737561,1055.2
NTPC IS Equity,NTPC Ltd,0.825096,3878.666454,155.75
BJFIN IS Equity,Bajaj Finserv Ltd,0.816024,38.192987,15643.2002
HNDL IS Equity,Hindalco Industries Ltd,0.810463,1348.303634,440.1
WPRO IS Equity,Wipro Ltd,0.802552,1366.026626,430.15
SBILIFE IS Equity,SBI Life Insurance Co Ltd,0.782755,450.127484,1273.2
DIVI IS Equity,Divi's Laboratories Ltd,0.715883,132.73429,3948.8
HDFCLIFE IS Equity,HDFC Life Insurance Co Ltd,0.702304,950.635212,540.9
CIPLA IS Equity,Cipla Ltd/India,0.686535,484.088422,1038.35
DRRD IS Equity,Dr Reddy's Laboratories Ltd,0.675133,116.490742,4243.2998
JSTL IS Equity,JSW Steel Ltd,0.66123,722.46831,670.1
APHS IS Equity,Apollo Hospitals Enterprise Ltd,0.620968,100.64926,4517.1499
TATACONS IS Equity,Tata Consumer Products Ltd,0.597027,552.931029,790.55
EIM IS Equity,Eicher Motors Ltd,0.589029,136.711551,3154.55
GRASIM IS Equity,Grasim Industries Ltd,0.579348,263.31571,1610.9
ADSEZ IS Equity,Adani Ports & Special Economic Zone Ltd,0.551145,510.43794,790.55
PIDI IS Equity,Pidilite Industries Ltd,0.549032,152.449689,2636.8
BRIT IS Equity,Britannia Industries Ltd,0.540022,108.390733,3647.75
UPLL IS Equity,UPL Ltd,0.519109,496.629546,765.3
DABUR IS Equity,Dabur India Ltd,0.494342,618.749769,584.95
SRF IS Equity,SRF Ltd,0.493279,148.210513,2436.8
GCPL IS Equity,Godrej Consumer Products Ltd,0.478357,409.032432,856.25
BHE IS Equity,Bharat Electronics Ltd,0.478227,1218.296472,287.4
COAL IS Equity,Coal India Ltd,0.46263,1540.682082,219.85
ONGC IS Equity,Oil & Natural Gas Corp Ltd,0.459801,2516.055841,133.8
TPWR IS Equity,Tata Power Co Ltd/The,0.448755,1437.902796,228.5
HAVL IS Equity,Havells India Ltd,0.447867,250.504443,1309
TELX IS Equity,Tata Elxsi Ltd,0.442626,34.2518,9461.5
CIFC IS Equity,Cholamandalam Investment and Finance Co,0.432738,410.485926,771.85
HMCL IS Equity,Hero MotoCorp Ltd,0.416593,109.896568,2775.45
INFOE IS Equity,Info Edge India Ltd,0.410195,70.831266,4240.0498
PAG IS Equity,Page Industries Ltd,0.405429,6.134631,48387.3984
ICICIGI IS Equity,ICICI Lombard General Insurance Co Ltd,0.404305,240.536016,1230.65
BPCL IS Equity,Bharat Petroleum Corp Ltd,0.38785,864.966318,328.3
BJAUT IS Equity,Bajaj Auto Ltd,0.38272,69.448085,4034.8501
SHTF IS Equity,Shriram Transport Finance Co Ltd,0.361161,189.363799,1396.4
MRCO IS Equity,Marico Ltd,0.360375,517.052935,510.3
ADANI IS Equity,Adani Power Ltd,0.357953,771.387788,339.75
LTI IS Equity,Larsen & Toubro Infotech Ltd,0.348755,52.576751,4856.6001
PI IS Equity,PI Industries Ltd,0.3393,75.820559,3276.45
