Ticker,Name,Weight,Shares,Price
RIL IS Equity,Reliance Industries Ltd,11.587252,3450.207253,2582.5
HDFCB IS Equity,HDFC Bank Ltd,8.364901,4386.751197,1466.3
ICICIBC IS Equity,ICICI Bank Ltd,7.676946,6955.266273,848.75
INFO IS Equity,Infosys Ltd,7.628112,3660.476528,1602.45
HDFC IS Equity,Housing Development Finance Corp Ltd,5.650246,1811.627392,2398.3
TCS IS Equity,Tata Consultancy Services Ltd,4.517923,1035.734384,3354.25
ITC IS Equity,ITC Ltd,3.540938,8749.511712,311.2
KMB IS Equity,Kotak Mahindra Bank Ltd,3.49284,1469.008823,1828.35
HUVR IS Equity,Hindustan Unilever Ltd,3.068564,892.8446796,2642.8
LT IS Equity,Larsen & Toubro Ltd,2.91537,1208.42489,1855.15
SBIN IS Equity,State Bank of India,2.568662,3837.583046,514.7
AXSB IS Equity,Axis Bank Ltd,2.538456,2641.375849,739
BAF IS Equity,Bajaj Finance Ltd,2.476741,266.3888625,7149.3999
BHARTI IS Equity,Bharti Airtel Ltd,2.247699,2416.491998,715.25
APNT IS Equity,Asian Paints Ltd,2.000163,450.8229613,3411.6499
MM IS Equity,Mahindra & Mahindra Ltd,1.578558,957.2582589,1268.05
MSIL IS Equity,Maruti Suzuki India Ltd,1.534857,132.9152264,8879.7002
TTAN IS Equity,Titan Co Ltd,1.320536,417.2594952,2433.6001
HCLT IS Equity,HCL Technologies Ltd,1.310315,1058.329387,952.05
SUNP IS Equity,Sun Pharmaceutical Industries Ltd,1.291352,1079.700737,919.7
BJFIN IS Equity,Bajaj Finserv Ltd,1.230202,60.47222872,15643.2002
TATA IS Equity,Tata Steel Ltd,1.145447,8065.985162,109.2
TTMT IS Equity,Tata Motors Ltd,1.109027,1793.292646,475.55
PWGR IS Equity,Power Grid Corp of India Ltd,0.993438,3417.971903,223.5
UTCEM IS Equity,UltraTech Cement Ltd,0.990411,115.4683388,6595.6499
NTPC IS Equity,NTPC Ltd,0.962369,4751.366406,155.75
NEST IS Equity,Nestle India Ltd,0.91715,35.67381492,19769.5
IIB IS Equity,IndusInd Bank Ltd,0.900016,651.0003721,1063.1
TECHM IS Equity,Tech Mahindra Ltd,0.867355,632.073249,1055.2
JSTL IS Equity,JSW Steel Ltd,0.842579,966.888176,670.1
HNDL IS Equity,Hindalco Industries Ltd,0.83598,1460.662271,440.1
WPRO IS Equity,Wipro Ltd,0.828027,1480.231255,430.15
GRASIM IS Equity,Grasim Industries Ltd,0.786066,375.2283928,1610.9
SBILIFE IS Equity,SBI Life Insurance Co Ltd,0.745408,450.1968413,1273.2
ADSEZ IS Equity,Adani Ports & Special Economic Zone Ltd,0.73837,718.2068982,790.55
CIPLA IS Equity,Cipla Ltd/India,0.730024,540.627826,1038.35
BJAUT IS Equity,Bajaj Auto Ltd,0.683257,130.215159,4034.8501
ONGC IS Equity,Oil & Natural Gas Corp Ltd,0.678583,3899.886554,133.8
DRRD IS Equity,Dr Reddy's Laboratories Ltd,0.670413,121.4908698,4243.2998
DIVI IS Equity,Divi's Laboratories Ltd,0.654357,127.4249184,3948.8
HDFCLIFE IS Equity,HDFC Life Insurance Co Ltd,0.654002,929.7523721,540.9
TATACONS IS Equity,Tata Consumer Products Ltd,0.615825,599.0086148,790.55
APHS IS Equity,Apollo Hospitals Enterprise Ltd,0.599695,102.0871065,4517.1499
COAL IS Equity,Coal India Ltd,0.599064,2095.327631,219.85
EIM IS Equity,Eicher Motors Ltd,0.572067,139.4487145,3154.55
BRIT IS Equity,Britannia Industries Ltd,0.559881,118.025465,3647.75
UPLL IS Equity,UPL Ltd,0.537864,540.4375015,765.3
HMCL IS Equity,Hero MotoCorp Ltd,0.468789,129.8821245,2775.45
BPCL IS Equity,Bharat Petroleum Corp Ltd,0.407501,954.4712074,328.3
SRCM IS Equity,Shree Cement Ltd,0.3664,13.34987676,21104.9004
