Ticker,Name,Weight,Shares,Price
9983 JT Equity,Fast Retailing Co Ltd,10.457316,1,82780
8035 JT Equity,Tokyo Electron Ltd,5.610164,1,44410
9984 JT Equity,SoftBank Group Corp,4.028555,6,5315
9433 JT Equity,KDDI Corp,3.14629,6,4151
6367 JT Equity,Daikin Industries Ltd,3.033102,1,24010
6954 JT Equity,FANUC Corp,2.917513,1,23095
4543 JT Equity,Terumo Corp,2.189998,4,4334
4063 JT Equity,Shin-Etsu Chemical Co Ltd,2.153237,1,17045
6857 JT Equity,Advantest Corp,2.051544,2,8120
6098 JT Equity,Recruit Holdings Co Ltd,1.885425,3,4975
6971 JT Equity,Kyocera Corp,1.870392,2,7403
6762 JT Equity,TDK Corp,1.798259,3,4745
4519 JT Equity,Chugai Pharmaceutical Co Ltd,1.43406,3,3784
6758 JT Equity,Sony Group Corp,1.416121,1,11210
7733 JT Equity,Olympus Corp,1.390603,4,2752
4568 JT Equity,Daiichi Sankyo Co Ltd,1.376455,3,3632
2413 JT Equity,M3 Inc,1.374029,2.4,4532
7203 JT Equity,Toyota Motor Corp,1.31885,5,2088
9613 JT Equity,NTT Data Corp,1.28032,5,2027
4503 JT Equity,Astellas Pharma Inc,1.272425,5,2014.5
7832 JT Equity,Bandai Namco Holdings Inc,1.240275,1,9818
9735 JT Equity,Secom Co Ltd,1.118748,1,8856
6988 JT Equity,Nitto Denko Corp,1.096515,1,8680
2801 JT Equity,Kikkoman Corp,1.093988,1,8660
4704 JT Equity,Trend Micro Inc/Japan,1.05988,1,8390
6902 JT Equity,Denso Corp,0.94846,1,7508
6645 JT Equity,Omron Corp,0.945176,1,7482
4901 JT Equity,FUJIFILM Holdings Corp,0.936838,1,7416
4021 JT Equity,Nissan Chemical Corp,0.899445,1,7120
9766 JT Equity,Konami Group Corp,0.879233,1,6960
4507 JT Equity,Shionogi & Co Ltd,0.866853,1,6862
7267 JT Equity,Honda Motor Co Ltd,0.86559,2,3426
6981 JT Equity,Murata Manufacturing Co Ltd,0.772917,0.8,7648
4523 JT Equity,Eisai Co Ltd,0.769961,1,6095
4452 JT Equity,Kao Corp,0.743053,1,5882
7974 JT Equity,Nintendo Co Ltd,0.72082,0.1,57060
7951 JT Equity,Yamaha Corp,0.698586,1,5530
4911 JT Equity,Shiseido Co Ltd,0.693533,1,5490
3659 JT Equity,Nexon Co Ltd,0.688733,2,2726
6861 JT Equity,Keyence Corp,0.687469,0.1,54420
3382 JT Equity,Seven & i Holdings Co Ltd,0.675974,1,5351
5108 JT Equity,Bridgestone Corp,0.675342,1,5346
7751 JT Equity,Canon Inc,0.640855,1.5,3382
7269 JT Equity,Suzuki Motor Corp,0.609273,1,4823
4324 JT Equity,Dentsu Group Inc,0.593735,1,4700
6506 JT Equity,Yaskawa Electric Corp,0.592472,1,4690
4578 JT Equity,Otsuka Holdings Co Ltd,0.583503,1,4619
2502 JT Equity,Asahi Group Holdings Ltd,0.582871,1,4614
8015 JT Equity,Toyota Tsusho Corp,0.574786,1,4550
6976 JT Equity,Taiyo Yuden Co Ltd,0.553311,1,4380
6724 JT Equity,Seiko Epson Corp,0.540425,2,2139
8058 JT Equity,Mitsubishi Corp,0.525266,1,4158
4502 JT Equity,Takeda Pharmaceutical Co Ltd,0.477767,1,3782
2802 JT Equity,Ajinomoto Co Inc,0.467029,1,3697
8766 JT Equity,Tokio Marine Holdings Inc,0.466461,0.5,7385
8001 JT Equity,ITOCHU Corp,0.466019,1,3689
8830 JT Equity,Sumitomo Realty & Development Co Ltd,0.438732,1,3473
4151 JT Equity,Kyowa Kirin Co Ltd,0.394139,1,3120
1925 JT Equity,Daiwa House Industry Co Ltd,0.385422,1,3051
8031 JT Equity,Mitsui & Co Ltd,0.377022,1,2984.5
6305 JT Equity,Hitachi Construction Machinery Co Ltd,0.366094,1,2898
6301 JT Equity,Komatsu Ltd,0.36041,1,2853
8801 JT Equity,Mitsui Fudosan Co Ltd,0.355609,1,2815
7272 JT Equity,Yamaha Motor Co Ltd,0.345882,1,2738
8267 JT Equity,Aeon Co Ltd,0.344745,1,2729
1721 JT Equity,COMSYS Holdings Corp,0.322764,1,2555
7270 JT Equity,Subaru Corp,0.310448,1,2457.5
6479 JT Equity,MINEBEA MITSUMI Inc,0.306468,1,2426
8252 JT Equity,Marui Group Co Ltd,0.302426,1,2394
1928 JT Equity,Sekisui House Ltd,0.292636,1,2316.5
2914 JT Equity,Japan Tobacco Inc,0.292446,1,2315
5332 JT Equity,TOTO Ltd,0.28992,0.5,4590
6841 JT Equity,Yokogawa Electric Corp,0.284235,1,2250
8591 JT Equity,ORIX Corp,0.281329,1,2227
2503 JT Equity,Kirin Holdings Co Ltd,0.281203,1,2226
6326 JT Equity,Kubota Corp,0.272107,1,2154
