Ticker,Name,Weight,Shares,Price
600519 CH Equity,Kweichow Moutai Co Ltd,5.287326,1256.1978,1876
601398 CH Equity,ICBC,2.619224,269612.2125,4.33
601288 CH Equity,Agricultural Bank of China Ltd,2.034167,319244.2108,2.84
601857 CH Equity,PetroChina Co Ltd,1.863669,161922.0778,5.13
600036 CH Equity,China Merchants Bank Co Ltd,1.534284,20628.94443,33.15
601988 CH Equity,Bank of China Ltd,1.428077,210765.5148,3.02
600900 CH Equity,China Yangtze Power Co Ltd,1.218954,22741.85923,23.89
601628 CH Equity,China Life Insurance Co Ltd,1.214711,20823.53,26
601088 CH Equity,China Shenhua Energy Co Ltd,1.048929,16491.03796,28.35
601318 CH Equity,Ping An Insurance Group Co of China Ltd,0.981888,10832.6645,40.4
601012 CH Equity,LONGi Green Energy Technology Co Ltd,0.981712,7578.133791,57.74
600028 CH Equity,China Petroleum & Chemical Corp,0.881157,95557.77105,4.11
601888 CH Equity,China Tourism Group Duty Free Corp Ltd,0.858592,1952.475544,196
603288 CH Equity,Foshan Haitian Flavouring & Food Co Ltd,0.811236,4633.833787,78.03
601166 CH Equity,Industrial Bank Co Ltd,0.808665,20774.19075,17.35
600809 CH Equity,Shanxi Fen Wine,0.747515,1220.114372,273.07
601658 CH Equity,Postal Savings Bank of China Co Ltd,0.732255,72527.80061,4.5
600309 CH Equity,Wanhua Chemical Group Co Ltd,0.576297,3139.746626,81.81
600030 CH Equity,CITIC Securities Co Ltd,0.533225,12200.46997,19.48
600276 CH Equity,Jiangsu Hengrui Medicine Co Ltd,0.527394,6379.002274,36.85
603259 CH Equity,WuXi AppTec Co Ltd,0.524296,2563.742716,91.15
600438 CH Equity,Tongwei Co Ltd,0.518618,4501.548184,51.35
600887 CH Equity,YILI,0.516218,6400.130918,35.95
601816 CH Equity,Beijing-Shanghai High Speed Railway Co L,0.494687,49106.48461,4.49
600000 CH Equity,Shanghai Pudong Development Bank Co Ltd,0.466908,29352.17186,7.09
601668 CH Equity,CSCEC,0.453555,41940.85884,4.82
601633 CH Equity,Great Wall Motor Co Ltd,0.43707,6158.95419,31.63
601225 CH Equity,Shaanxi Coal Industry Co Ltd,0.435469,9695,20.02
600406 CH Equity,NARI Technology Co Ltd,0.428072,6694.630847,28.5
601138 CH Equity,Foxconn Industrial Internet Co Ltd,0.426528,19865.10401,9.57
600104 CH Equity,SAIC Motor Corp Ltd,0.423602,11683.46137,16.16
601899 CH Equity,Zijin Mining Group Co Ltd,0.408417,20592.37224,8.84
688599 CH Equity,Trina Solar Co Ltd,0.405639,2167.587415,83.41
601328 CH Equity,Bank of Communications Co Ltd,0.402449,39250.86402,4.57
600048 CH Equity,PRE,0.400699,11970.28369,14.92
600436 CH Equity,PIEN TZE HUANG,0.39666,603.31721,293.04
601919 CH Equity,COSCO SHIPPING Holdings Co Ltd,0.380879,12659.40478,13.41
600905 CH Equity,China Three Gorges New Energy (Group) Co,0.377572,28620.51,5.88
601066 CH Equity,CSC Financial Co Ltd,0.369006,6495.671035,25.32
601319 CH Equity,People's Insurance Co Group of China Ltd,0.359189,35497.75658,4.51
600346 CH Equity,Hengli Petrochemical Co Ltd,0.328809,7039.099786,20.82
601998 CH Equity,China CITIC Bank Corp Ltd,0.325466,34052.68038,4.26
600893 CH Equity,AECC Aviation Power Co Ltd,0.324683,2665.594238,54.29
600690 CH Equity,Haier Smart Home Co Ltd,0.322708,6308.552654,22.8
600031 CH Equity,Sany Heavy Industry Co Ltd,0.307747,8493.286021,16.15
603260 CH Equity,Hoshine Silicon Industry Co Ltd,0.304865,1074.165577,126.5
601601 CH Equity,China Pacific Insurance Group Co Ltd,0.297782,6845.041455,19.39
688303 CH Equity,Xinjiang Daqo New Energy Co Ltd,0.29775,2137.396215,62.09
600760 CH Equity,AVIC Shenyang Aircraft Co Ltd,0.297351,1960.544999,67.6
600009 CH Equity,Shanghai International Airport Co Ltd,0.296044,2360.897773,55.89
603799 CH Equity,Zhejiang Huayou Cobalt Co Ltd,0.295044,1587.645518,82.83
603501 CH Equity,Will Semiconductor Co Ltd Shanghai,0.294687,1183.827425,110.95
600585 CH Equity,Anhui Conch Cement Co Ltd,0.29048,3999.702579,32.37
600016 CH Equity,China Minsheng Banking Corp Ltd,0.28563,35462.12321,3.59
600025 CH Equity,Huaneng Lancang River Hydropower Inc,0.283501,18000,7.02
600018 CH Equity,Shanghai International Port Group Co Ltd,0.280464,23278.67975,5.37
600188 CH Equity,Yankuang Energy Group Co Ltd,0.279006,3048.70364,40.79
601766 CH Equity,CRRC Corp Ltd,0.275638,24327.79805,5.05
601995 CH Equity,China International Capital Corp Ltd,0.269192,2923.54244,41.04
603392 CH Equity,Beijing Wantai Biological Pharmacy Enter,0.265753,880.208,134.57
600111 CH Equity,CNRE,0.264423,3633.066,32.44
600019 CH Equity,Baoshan Iron & Steel Co Ltd,0.263296,22268.41155,5.27
601818 CH Equity,China Everbright Bank Co Ltd,0.261639,41353.18523,2.82
601985 CH Equity,China National Nuclear Power Co Ltd,0.258388,18848.93022,6.11
601390 CH Equity,China Railway Group Ltd,0.252928,20534.26368,5.49
600050 CH Equity,China United Network Communications Ltd,0.248204,30988.13161,3.57
601238 CH Equity,Guangzhou Automobile Group Co Ltd,0.245394,7365.337352,14.85
601009 CH Equity,Bank of Nanjing Co Ltd,0.241855,10305.72478,10.46
601211 CH Equity,Guotai Junan Securities Co Ltd,0.240259,7514.844451,14.25
601669 CH Equity,Power Construction Corp of China Ltd,0.238901,15299.03502,6.96
600703 CH Equity,Sanan Optoelectronics Co Ltd,0.23788,4479.341308,23.67
600989 CH Equity,Ningxia Baofeng Energy Group Co Ltd,0.233963,7333.36,14.22
600150 CH Equity,China CSSC Holdings Ltd,0.228783,4472.428758,22.8
603806 CH Equity,Hangzhou First Applied Material Co Ltd,0.227285,1331.545247,76.08
600919 CH Equity,Bank of Jiangsu Co Ltd,0.225995,14769.63913,6.82
603659 CH Equity,Shanghai Putailai New Energy Technology,0.223,1390.903678,71.46
600999 CH Equity,China Merchants Securities Co Ltd,0.222138,7422.005272,13.34
600010 CH Equity,Inner Mongolia BaoTou Steel Union Co Ltd,0.21989,45585.03265,2.15
601127 CH Equity,Seres Group Co Ltd,0.21766,1497.124564,64.8
603993 CH Equity,CMOC Group Ltd,0.212839,17665.77258,5.37
601688 CH Equity,Huatai Securities Co Ltd,0.211131,7357.60432,12.79
601111 CH Equity,Air China Ltd,0.208312,9962.131821,9.32
601006 CH Equity,Daqin Railway Co Ltd,0.204802,14866.9186,6.14
600089 CH Equity,TBEA Co Ltd,0.202723,3790.111289,23.84
600745 CH Equity,Wingtech Technology Co Ltd,0.202004,1246.338965,72.24
601800 CH Equity,China Communications Construction Co Ltd,0.201888,11747.23543,7.66
600196 CH Equity,FOSUN PHARMA,0.201835,2117.714711,42.48
600837 CH Equity,Haitong Securities Co Ltd,0.201232,9654.63118,9.29
601689 CH Equity,Ningbo Tuopu Group Co Ltd,0.199436,1102.046572,80.66
688012 CH Equity,Advanced Micro-Fabrication Equipment Inc,0.198819,616.24448,143.8
688111 CH Equity,Beijing Kingsoft Office Software Inc,0.196972,461,190.44
601169 CH Equity,Bank of Beijing Co Ltd,0.195438,21142.98427,4.12
605117 CH Equity,Ningbo Deye Technology Co Ltd,0.194578,238.9338,362.97
601989 CH Equity,China Shipbuilding Industry Co Ltd,0.191845,22802.03532,3.75
603195 CH Equity,Gongniu Group Co Ltd,0.190479,601.18052,141.22
600732 CH Equity,Shanghai Aiko Solar Energy Co Ltd,0.188688,2036.329187,41.3
603986 CH Equity,GigaDevice Semiconductor Inc,0.188614,667.467102,125.95
601229 CH Equity,Bank of Shanghai Co Ltd,0.185507,14206.64884,5.82
601186 CH Equity,China Railway Construction Corp Ltd,0.185048,11503.2455,7.17
688981 CH Equity,SMIC,0.184838,1938.463,42.5
601898 CH Equity,China Coal Energy Co Ltd,0.183569,9152.0004,8.94
600522 CH Equity,Jiangsu Zhongtian Technology Co Ltd,0.179717,3412.949652,23.47
600926 CH Equity,Bank of Hangzhou Co Ltd,0.178023,5930.26505,13.38
600015 CH Equity,Huaxia Bank Co Ltd,0.177447,15387.22398,5.14
600029 CH Equity,China Southern Airlines Co Ltd,0.173162,12673.30246,6.09
600660 CH Equity,Fuyao Glass Industry Group Co Ltd,0.16933,2002.986332,37.68
600886 CH Equity,SDIC Power Holdings Co Ltd,0.169082,7454.179797,10.11
601877 CH Equity,Zhejiang Chint Electrics Co Ltd,0.168153,2149.973551,34.86
600600 CH Equity,Tsingtao Brewery Co Ltd,0.167156,709.285615,105.04
688396 CH Equity,China Resources Microelectronics Ltd,0.167102,1320.091861,56.42
603290 CH Equity,StarPower Semiconductor Ltd,0.165637,170.60606,432.73
600588 CH Equity,Yonyou Network Technology Co Ltd,0.164056,3434.563809,21.29
601868 CH Equity,China Energy Engineering Corp Ltd,0.161521,32428.72764,2.22
600011 CH Equity,Huaneng Power International Inc,0.15915,10997.70992,6.45
603833 CH Equity,Oppein Home Group Inc,0.157716,609.151948,115.4
688008 CH Equity,Montage Technology Co Ltd,0.15669,1132.824111,61.65
688363 CH Equity,Bloomage Biotechnology Corp Ltd,0.156605,481.085277,145.09
601865 CH Equity,Flat Glass Group Co Ltd,0.155332,1696.893254,40.8
600547 CH Equity,Shandong Gold Mining Co Ltd,0.153105,3614.443347,18.88
600256 CH Equity,Guanghui Energy Co Ltd,0.151728,6565.755139,10.3
600085 CH Equity,Beijing Tongrentang Co Ltd,0.151021,1371.470262,49.08
600795 CH Equity,GD Power Development Co Ltd,0.14966,17835.61908,3.74
600233 CH Equity,YTO Express Group Co Ltd,0.147942,3436.146954,19.19
601100 CH Equity,Jiangsu Hengli Hydraulic Co Ltd,0.147782,1305.36,50.46
601615 CH Equity,Ming Yang Smart Energy Group Ltd,0.147311,2260.185706,29.05
600115 CH Equity,China Eastern Airlines Corp Ltd,0.145055,13697.6623,4.72
600958 CH Equity,Orient Securities Co Ltd/China,0.144123,7469.482864,8.6
600460 CH Equity,Hangzhou Silan Microelectronics Co Ltd,0.143923,1416.071845,45.3
603185 CH Equity,Wuxi Shangji Automation Co Ltd,0.143498,385.316336,165.99
600741 CH Equity,Huayu Automotive Systems Co Ltd,0.142601,3152.723984,20.16
688063 CH Equity,Pylon Technologies Co Ltd,0.142153,154.844533,409.18
600426 CH Equity,Shandong Hualu Hengsheng Chemical Co Ltd,0.139431,2122.479999,29.28
605499 CH Equity,Eastroc Beverage Group Co Ltd,0.138173,400.01,153.96
600570 CH Equity,Hundsun Technologies Inc,0.137462,1461.56048,41.92
688126 CH Equity,National Silicon Industry Group Co Ltd,0.137201,2720.298399,22.48
600884 CH Equity,Ningbo Shanshan Co Ltd,0.136063,2161.254038,28.06
600845 CH Equity,Shanghai Baosight Software Co Ltd,0.135379,1473.506507,40.95
601018 CH Equity,Ningbo Zhoushan Port Co Ltd,0.13406,15807.41737,3.78
601600 CH Equity,Aluminum Corp of China Ltd,0.133806,13078.70698,4.56
600176 CH Equity,China Jushi Co Ltd,0.132297,4003.136728,14.73
603369 CH Equity,Jiangsu King's Luck Brewery JSC Ltd,0.132202,1254.5,46.97
601618 CH Equity,Metallurgical Corp of China Ltd,0.126972,17852.61917,3.17
601336 CH Equity,New China Life Insurance Co Ltd,0.125769,2085.43934,26.88
601881 CH Equity,China Galaxy Securities Co Ltd,0.125248,6446.274124,8.66
601788 CH Equity,Everbright Securities Co Ltd,0.124815,3906.698839,14.24
688005 CH Equity,Ningbo Ronbay New Energy Technology Co L,0.124727,448.037632,124.08
600132 CH Equity,Chongqing Brewery Co Ltd,0.124274,483.971198,114.45
601117 CH Equity,CNCEC,0.12405,6109.470588,9.05
600674 CH Equity,Sichuan Chuantou Energy Co Ltd,0.123867,4406.15609,12.53
601872 CH Equity,China Merchants Energy Shipping Co Ltd,0.122969,8107.841801,6.76
601360 CH Equity,360 Security Technology Inc,0.1228,7145.363197,7.66
601727 CH Equity,Shanghai Electric Group Co Ltd,0.121808,12655.32709,4.29
600702 CH Equity,Shede Spirits Co Ltd,0.120484,332.042979,161.73
601916 CH Equity,China Zheshang Bank Co Ltd,0.120003,16714.69678,3.2
688036 CH Equity,Shenzhen Transsion Holdings Co Ltd,0.119378,801.69095,66.37
601838 CH Equity,Bank of Chengdu Co Ltd,0.119054,3612.251334,14.69
600754 CH Equity,JINJIANG SHARES,0.118615,914.044063,57.84
688122 CH Equity,Western Superconducting Technologies Co,0.117856,464.046069,113.2
603688 CH Equity,Jiangsu Pacific Quartz Co Ltd,0.11778,353.15158,148.65
603606 CH Equity,Ningbo Orient Wires & Cables Co Ltd,0.117635,687.715368,76.24
601939 CH Equity,China Construction Bank Corp,0.117523,9593.657606,5.46
601901 CH Equity,Founder Securities Co Ltd,0.117466,8232.101395,6.36
600584 CH Equity,JCET Group Co Ltd,0.113909,1779.553,28.53
