Ticker,Name,Weight,Shares,Price
600519 CH Equity,Kweichow Moutai Co Ltd,6.125441,628.0989,1876
300750 CH Equity,Contemporary Amperex Technology Co Ltd,3.664001,1398.51072,503.98
601318 CH Equity,Ping An Insurance Group Co of China Ltd,2.275062,10832.6645,40.4
600036 CH Equity,China Merchants Bank Co Ltd,2.132987,12377.36666,33.15
601012 CH Equity,LONGi Green Energy Technology Co Ltd,1.819724,6062.507033,57.74
000858 CH Equity,Wuliangye Yibin Co Ltd,1.755527,1940.804003,174
002594 CH Equity,BYD Co Ltd,1.45319,906.571428,308.35
600900 CH Equity,China Yangtze Power Co Ltd,1.412175,11370.92962,23.89
000333 CH Equity,Midea Group Co Ltd,1.319687,4897.937409,51.83
601166 CH Equity,Industrial Bank Co Ltd,1.31159,14541.93353,17.35
300059 CH Equity,East Money Information Co Ltd,1.171638,10571.33004,21.32
601888 CH Equity,China Tourism Group Duty Free Corp Ltd,0.994691,976.237772,196
600030 CH Equity,CITIC Securities Co Ltd,0.988398,9760.375979,19.48
603259 CH Equity,WuXi AppTec Co Ltd,0.971846,2050.994173,91.15
600887 CH Equity,YILI,0.956873,5120.104734,35.95
002475 CH Equity,Luxshare Precision Industry Co Ltd,0.894285,4959.011022,34.69
600276 CH Equity,Jiangsu Hengrui Medicine Co Ltd,0.855391,4465.301592,36.85
000568 CH Equity,Luzhou Laojiao Co Ltd,0.823617,735.807538,215.32
002415 CH Equity,HIKVISION,0.803984,4716.60436,32.79
601398 CH Equity,ICBC,0.788946,35049.58763,4.33
002714 CH Equity,Muyuan Foods Co Ltd,0.771349,2661.042556,55.76
000725 CH Equity,BOE Technology Group Co Ltd,0.752673,37509.63299,3.86
000651 CH Equity,Gree Electric Appliances Inc of Zhuhai,0.748241,4731.575232,30.42
300760 CH Equity,Shenzhen Mindray Bio-Medical Electronics,0.745678,484.976558,295.77
600438 CH Equity,Tongwei Co Ltd,0.720991,2700.92891,51.35
300274 CH Equity,Sungrow Power Supply Co Ltd,0.696113,1039.651189,128.8
600809 CH Equity,Shanxi Fen Wine,0.692805,488.045749,273.07
600309 CH Equity,Wanhua Chemical Group Co Ltd,0.667648,1569.873313,81.81
601899 CH Equity,Zijin Mining Group Co Ltd,0.66242,14414.66057,8.84
601328 CH Equity,Bank of Communications Co Ltd,0.65274,27475.60481,4.57
000792 CH Equity,Qinghai Salt Lake Industry Co Ltd,0.649582,4346.301338,28.75
002466 CH Equity,Tianqi Lithium Corp,0.633076,1033.969568,117.78
000001 CH Equity,Ping An Bank Co Ltd,0.608314,9702.959099,12.06
300124 CH Equity,Shenzhen Inovance Technology Co Ltd,0.601883,1845.400883,62.74
002129 CH Equity,TZE,0.598823,2262.213589,50.92
002142 CH Equity,Bank of Ningbo Co Ltd,0.588256,3962.154475,28.56
300498 CH Equity,Wens Foodstuffs Group Co Ltd,0.583263,5081.462578,22.08
002812 CH Equity,Yunnan Energy New Material Co Ltd,0.580805,535.44518,208.66
000002 CH Equity,China Vanke Co Ltd,0.56971,6806.937573,16.1
603288 CH Equity,Foshan Haitian Flavouring & Food Co Ltd,0.563897,1390.150136,78.03
600048 CH Equity,PRE,0.557059,7182.170215,14.92
300014 CH Equity,Eve Energy Co Ltd,0.553804,1133.076407,94.02
603799 CH Equity,Zhejiang Huayou Cobalt Co Ltd,0.5469,1270.116414,82.83
300015 CH Equity,Aier Eye Hospital Group Co Ltd,0.538807,3521.815535,29.43
002049 CH Equity,Unigroup Guoxin Microelectronics Co Ltd,0.532382,424.80141,241.08
002460 CH Equity,Ganfeng Lithium Co Ltd,0.529848,1126.227446,90.5
601668 CH Equity,CSCEC,0.525449,20970.42942,4.82
002304 CH Equity,YANGHE,0.521685,602.7952,166.48
600031 CH Equity,Sany Heavy Industry Co Ltd,0.49914,5945.300215,16.15
600406 CH Equity,NARI Technology Co Ltd,0.495927,3347.315424,28.5
002352 CH Equity,SF Holding Co Ltd,0.4889,1958.080949,48.03
601088 CH Equity,China Shenhua Energy Co Ltd,0.48608,3298.207591,28.35
601288 CH Equity,Agricultural Bank of China Ltd,0.471322,31924.42108,2.84
688599 CH Equity,Trina Solar Co Ltd,0.469939,1083.793708,83.41
600089 CH Equity,TBEA Co Ltd,0.469715,3790.111289,23.84
600837 CH Equity,Haitong Securities Co Ltd,0.46626,9654.63118,9.29
600016 CH Equity,China Minsheng Banking Corp Ltd,0.463269,24823.48625,3.59
600436 CH Equity,PIEN TZE HUANG,0.459536,301.658605,293.04
601816 CH Equity,Beijing-Shanghai High Speed Railway Co L,0.458481,19642.59384,4.49
002371 CH Equity,NAURA Technology Group Co Ltd,0.454264,263.601995,331.5
000625 CH Equity,Chongqing Changan Automobile Co Ltd,0.448867,4968.110787,17.38
600690 CH Equity,Haier Smart Home Co Ltd,0.448634,3785.131592,22.8
601919 CH Equity,COSCO SHIPPING Holdings Co Ltd,0.441254,6329.70239,13.41
603986 CH Equity,GigaDevice Semiconductor Inc,0.437023,667.467102,125.95
600000 CH Equity,Shanghai Pudong Development Bank Co Ltd,0.432736,11740.86874,7.09
688981 CH Equity,SMIC,0.428275,1938.463,42.5
600919 CH Equity,Bank of Jiangsu Co Ltd,0.41891,11815.7113,6.82
000063 CH Equity,ZTE Corp,0.411497,3182.833795,24.87
603501 CH Equity,Will Semiconductor Co Ltd Shanghai,0.409679,710.296455,110.95
600585 CH Equity,Anhui Conch Cement Co Ltd,0.40383,2399.821547,32.37
601225 CH Equity,Shaanxi Coal Industry Co Ltd,0.403597,3878,20.02
002241 CH Equity,GoerTek Inc,0.399557,2391.424725,32.14
002230 CH Equity,Iflytek Co Ltd,0.393324,1859.002226,40.7
600104 CH Equity,SAIC Motor Corp Ltd,0.392599,4673.384546,16.16
601688 CH Equity,Huatai Securities Co Ltd,0.391357,5886.083456,12.79
300122 CH Equity,ZHIFEI-BIOL,0.386476,800,92.93
002271 CH Equity,ORIENTAL YUHONG,0.380373,2015.701836,36.3
600893 CH Equity,AECC Aviation Power Co Ltd,0.376149,1332.797119,54.29
600111 CH Equity,CNRE,0.367605,2179.8396,32.44
002709 CH Equity,TINCI,0.367571,1347.32211,52.48
300142 CH Equity,Walvax Biotechnology Co Ltd,0.366416,1601.571884,44.01
000661 CH Equity,CCHN,0.364031,323.776232,216.28
002459 CH Equity,JA Solar Technology Co Ltd,0.362945,937.902769,74.44
600050 CH Equity,China United Network Communications Ltd,0.345057,18592.87897,3.57
601601 CH Equity,China Pacific Insurance Group Co Ltd,0.344985,3422.520728,19.39
601211 CH Equity,Guotai Junan Securities Co Ltd,0.334012,4508.906671,14.25
000338 CH Equity,Weichai Power Co Ltd,0.332046,5426.813457,11.77
601988 CH Equity,Bank of China Ltd,0.330889,21076.55149,3.02
