Ticker,Name,Weight,Shares,Price
DBS SP Equity,DBS Group Holdings Ltd,19.444439,1808.400122,33.24
OCBC SP Equity,Oversea-Chinese Banking Corp Ltd,14.061944,3514.275658,12.37
UOB SP Equity,United Overseas Bank Ltd,11.31685,1288.593325,27.15
ST SP Equity,Singapore Telecommunications Ltd,6.439974,7512.740495,2.65
JM SP Equity,Jardine Matheson Holdings Ltd,3.887711,163.16861,53.79
CICT SP Equity,CapitaLand Integrated Commercial Trust,3.434127,5055.419946,2.1
CLI SP Equity,Capitaland Investment Ltd/Singapore,3.379735,2548.349319,4.1
AREIT SP Equity,Ascendas Real Estate Investment Trust,3.229124,3407.039819,2.93
KEP SP Equity,Keppel Corp Ltd,3.20063,1413.50587,7
WIL SP Equity,Wilmar International Ltd,2.82026,2100.87955,4.15
SGX SP Equity,Singapore Exchange Ltd,2.609186,818.8961946,9.85
HKL SP Equity,Hongkong Land Holdings Ltd,2.518925,1123.851461,5.06
SIA SP Equity,Singapore Airlines Ltd,2.231213,1274.981882,5.41
THBEV SP Equity,Thai Beverage PCL,2.107469,9797.14625,0.665
STE SP Equity,Singapore Technologies Engineering Ltd,2.014256,1522.479372,4.09
MLT SP Equity,Mapletree Logistics Trust,1.822688,3201.546575,1.76
MINT SP Equity,Mapletree Industrial Trust,1.608701,1862.619236,2.67
GENS SP Equity,Genting Singapore Ltd,1.545089,5789.746775,0.825
VMS SP Equity,Venture Corp Ltd,1.523212,261.4608825,18.01
MPACT SP Equity,Mapletree Pan Asia Commercial Trust,1.364589,2197.154676,1.92
FLT SP Equity,Frasers Logistics & Commercial Trust,1.309459,2830.843668,1.43
CIT SP Equity,City Developments Ltd,1.24826,467.7473516,8.25
UOL SP Equity,UOL Group Ltd,1.16728,492.3016593,7.33
JCNC SP Equity,Jardine Cycle & Carriage Ltd,1.002653,98.808977,31.37
CD SP Equity,ComfortDelGro Corp Ltd,0.961392,2049.711598,1.45
SCI SP Equity,Sembcorp Industries Ltd,0.944677,906.958626,3.22
SATS SP Equity,SATS Ltd,0.837467,636.1116135,4.07
KDCREIT SP Equity,Keppel DC REIT,0.820283,1274.29749,1.99
YZJSGD SP Equity,Yangzijiang Shipbuilding Holdings Ltd,0.779825,2537.662025,0.95
DFI SP Equity,DFI Retail Group Holdings Ltd,0.368583,300.3995807,2.77
