Ticker,Name,Weight,Shares,Price
ARGX BB Equity,Argenx SE,15.057672,50.935679,358.5
ABI BB Equity,Anheuser-Busch InBev SA/NV,12.589763,288.285638,52.96
KBC BB Equity,KBC Group NV,10.258066,232.435674,53.52
UCB BB Equity,UCB SA,7.68768,126.428678,73.74
GBLB BB Equity,Groupe Bruxelles Lambert SA,6.853601,101.63075,81.78
UMI BB Equity,Umicore SA,6.405648,209.44,37.09
AGS BB Equity,Ageas SA/NV,5.894191,162.378159,44.02
SOLB BB Equity,Solvay SA,4.962144,68.81967,87.44
ELI BB Equity,Elia Group SA/NV,4.608285,36.693812,152.3
WDP BB Equity,Warehouses De Pauw CVA,3.860149,138.579145,33.78
AED BB Equity,Aedifica SA,3.104771,36.308157,103.7
DIE BB Equity,D'ieteren Group,2.991549,22.121048,164
SOF BB Equity,Sofina SA,2.867205,15.4125,225.6
COFB BB Equity,Cofinimmo SA,2.728759,30.110707,109.9
ACKB BB Equity,Ackermans & van Haaren NV,2.569238,21.772988,143.1
GLPG NA Equity,Galapagos NV,1.852363,42.609269,52.72
PROX BB Equity,Proximus SADP,1.67138,152.111311,13.325
VGP BB Equity,VGP NV,1.573521,10.916525,174.8
APAM NA Equity,APERAM SA,1.237643,47.997768,31.27
COLR BB Equity,Etablissements Franz Colruyt NV,1.226372,53.535675,27.78
