Ticker,Name,Weight,Shares,Price
MC FP Equity,LVMH Moet Hennessy Louis Vuitton SE,12.667685,277.616536,690
TTE FP Equity,TotalEnergies SE,8.38371,2508.407863,50.54
SAN FP Equity,Sanofi,6.592476,1137.089714,87.67
OR FP Equity,L'Oreal SA,5.991026,250.952287,361
SU FP Equity,Schneider Electric SE,5.050773,569.033442,134.22
AI FP Equity,Air Liquide SA,4.660673,521.123394,135.24
AIR FP Equity,Airbus SE,4.191673,589.515612,107.52
BNP FP Equity,BNP Paribas SA,3.662346,1124.818705,49.235
DG FP Equity,Vinci SA,3.325464,537.878532,93.49
EL FP Equity,EssilorLuxottica SA,3.298443,309.223019,161.3
CS FP Equity,AXA SA,3.284679,2056.283556,24.155
RMS FP Equity,Hermes International,2.869345,31.670824,1370
KER FP Equity,Kering SA,2.748123,75.01075,554
RI FP Equity,Pernod Ricard SA,2.709932,209.501248,195.6
SAF FP Equity,Safran SA,2.482246,341.790893,109.82
BN FP Equity,Danone SA,2.314244,653.258,53.57
CAP FP Equity,Capgemini SE,2.015775,160.345595,190.1
STLA FP Equity,Stellantis NV,1.965851,2035.522076,14.604
DSY FP Equity,Dassault Systemes SE,1.881454,664.810455,42.795
STM FP Equity,STMicroelectronics NV,1.543364,637.391864,36.615
ENGI FP Equity,Engie SA,1.539529,1826.463758,12.746
SGO FP Equity,Cie de Saint-Gobain,1.452654,479.302396,45.83
LR FP Equity,Legrand SA,1.42447,267.447746,80.54
GLE FP Equity,Societe Generale SA,1.247827,810.702919,23.275
ORA FP Equity,Orange SA,1.244678,1862.039619,10.108
ML FP Equity,Michelin,1.235877,677.730148,27.575
TEP FP Equity,Teleperformance,1.212308,58.7376,312.1
MT NA Equity,ArcelorMittal SA,1.103888,671.326352,24.865
VIE FP Equity,Veolia Environnement SA,1.065479,655.480987,24.58
ACA FP Equity,Credit Agricole SA,0.916743,1391.408771,9.963
HO FP Equity,Thales SA,0.866356,106.682979,122.8
PUB FP Equity,Publicis Groupe SA,0.765323,227.992429,50.76
WLN FP Equity,Worldline SA/France,0.68689,238.39497,43.57
CA FP Equity,Carrefour SA,0.660826,591.111461,16.905
ERF FP Equity,Eurofins Scientific SE,0.623101,124.009873,75.98
ALO FP Equity,Alstom SA,0.529522,316.115599,25.33
VIV FP Equity,Vivendi SE,0.481743,775.795508,9.39
URW NA Equity,Unibail-Rodamco-Westfield,0.464005,117.805254,59.56
EN FP Equity,Bouygues SA,0.421288,209.626271,30.39
RNO FP Equity,Renault SA,0.418212,207.005599,30.55
