Ticker,Name,Weight,Shares,Price
LIN GY Equity,Linde PLC,10.427288,19.296494,299.25
SAP GY Equity,SAP SE,8.331294,49.408285,93.38
SIE GY Equity,Siemens AG,7.086575,35.944668,109.18
ALV GY Equity,Allianz SE,6.286533,19.503572,178.5
DTE GY Equity,Deutsche Telekom AG,5.63278,165.430057,18.856
AIR GY Equity,Airbus SE,5.431492,27.959459,107.58
BAYN GY Equity,Bayer AG,4.410904,47.065364,51.9
MBG GY Equity,Mercedes-Benz Group AG,4.116852,37.671036,60.52
BAS GY Equity,BASF SE,3.468945,43.223074,44.445
DPW GY Equity,Deutsche Post AG,3.39135,46.378039,40.495
IFX GY Equity,Infineon Technologies AG,3.04816,62.369315,27.065
MUV2 GY Equity,Munich Re,2.848157,6.711773,235
DB1 GY Equity,Deutsche Boerse AG,2.743242,8.796562,172.7
VOW3 GY Equity,Volkswagen AG,2.603012,9.878763,145.92
ADS GY Equity,adidas AG,2.546482,8.134539,173.36
RWE GY Equity,RWE AG,2.485627,32.395931,42.49
BMW GY Equity,Bayerische Motoren Werke AG,2.16197,15.351539,77.99
MRK GY Equity,Merck KGaA,2.09972,6.191658,187.8
VNA GY Equity,Vonovia SE,1.932326,34.363945,31.14
EOAN GY Equity,E.ON SE,1.610686,99.661852,8.95
DBK GY Equity,Deutsche Bank AG,1.557739,97.706706,8.829
SY1 GY Equity,Symrise AG,1.261003,6.359968,109.8
SHL GY Equity,Siemens Healthineers AG,1.241186,13.320743,51.6
DTG GY Equity,Daimler Truck Holding AG,1.137775,22.555311,27.935
PAH3 GY Equity,Porsche Automobil Holding SE,0.958265,7.335818,72.34
HEN3 GY Equity,Henkel AG & Co KGaA,0.952301,8.138424,64.8
QIA GY Equity,QIAGEN NV,0.945099,10.896974,48.03
BNR GY Equity,Brenntag SE,0.929446,7.40169,69.54
SRT3 GY Equity,Sartorius AG,0.901965,1.178609,423.8
FRE GY Equity,Fresenius SE & Co KGaA,0.884707,19.859652,24.67
MTX GY Equity,MTU Aero Engines AG,0.877226,2.556141,190.05
BEI GY Equity,Beiersdorf AG,0.86682,4.687814,102.4
HNR1 GY Equity,Hannover Rueck SE,0.759277,2.876036,146.2
FME GY Equity,Fresenius Medical Care AG & Co KGaA,0.630128,9.521289,36.65
HEI GY Equity,HeidelbergCement AG,0.627574,6.785262,51.22
CON GY Equity,Continental AG,0.626932,5.174152,67.1
ZAL GY Equity,Zalando SE,0.625695,11.06323,31.32
PUM GY Equity,Puma SE,0.589614,4.818762,67.76
1COV GY Equity,Covestro AG,0.543716,9.129828,32.98
HFG GY Equity,HelloFresh SE,0.420139,8.215622,28.32
