Ticker,Name,Weight,Shares,Price
IBE SM Equity,Iberdrola SA,15.386156,6362.094,10.73
ITX SM Equity,Industria de Diseno Textil SA,10.629553,1869.9912,25.22
SAN SM Equity,Banco Santander SA,9.896544,16794.40158,2.6145
BBVA SM Equity,Banco Bilbao Vizcaya Argentaria SA,6.778497,6386.66787,4.709
CLNX SM Equity,Cellnex Telecom SA,6.300566,679.327724,41.15
AMS SM Equity,Amadeus IT Group SA,5.832286,450.499205,57.44
TEF SM Equity,Telefonica SA,5.526882,5775.237554,4.246
CABK SM Equity,CaixaBank SA,4.384959,6448.517626,3.017
FER SM Equity,Ferrovial SA,4.380411,737.57104,26.35
REP SM Equity,Repsol SA,4.014976,1452.396053,12.265
AENA SM Equity,Aena SME SA,3.47007,120,128.3
RED SM Equity,Red Electrica Corp SA,2.35064,541.08,19.275
ANA SM Equity,Acciona SA,1.988134,43.885322,201
ELE SM Equity,Endesa SA,1.726725,423.500847,18.09
IAG SM Equity,International Consolidated Airlines Grou,1.595606,4971.47601,1.424
ACS SM Equity,ACS Actividades de Construccion y Servic,1.560174,288.664594,23.98
GRF SM Equity,Grifols SA,1.31773,426.129798,13.72
NTGY SM Equity,Naturgy Energy Group SA,1.217263,193.92276,27.85
ENG SM Equity,Enagas SA,1.146443,261.990074,19.415
SGRE SM Equity,Siemens Gamesa Renewable Energy SA,1.10474,272.457353,17.99
MTS SM Equity,ArcelorMittal SA,1.051147,187.561954,24.865
MRL SM Equity,Merlin Properties Socimi SA,1.045041,469.77075,9.87
BKT SM Equity,Bankinter SA,1.02958,898.866154,5.082
SAB SM Equity,Banco de Sabadell SA,0.844907,5626.964701,0.6662
MAP SM Equity,Mapfre SA,0.697981,1847.731964,1.676
FDR SM Equity,Fluidra SA,0.665972,156.503256,18.88
COL SM Equity,Inmobiliaria Colonial Socimi SA,0.650439,431.69251,6.685
ANE SM Equity,Corp ACCIONA Energias Renovables SA,0.615341,65.850118,41.46
ACX SM Equity,Acerinox SA,0.588192,270.546193,9.646
ROVI SM Equity,Laboratorios Farmaceuticos Rovi SA,0.501593,43.212926,51.5
SLR SM Equity,Solaria Energia y Medio Ambiente SA,0.50084,99.960701,22.23
IDR SM Equity,Indra Sistemas SA,0.3458,176.654402,8.685
SCYR SM Equity,Sacyr SA,0.344644,653.467691,2.34
PHM SM Equity,Pharma Mar SA,0.25583,18.354907,61.84
MEL SM Equity,Melia Hotels International SA,0.254338,176.32,6.4
