Ticker,Name,Weight,Shares,Price
NOVOB DC Equity,Novo Nordisk A/S,43.511072,1533.45632,781.8
DSV DC Equity,DSV A/S,7.997712,180.18,1223
VWS DC Equity,Vestas Wind Systems A/S,6.894231,959.373897,198
ORSTED DC Equity,Orsted AS,5.849624,189.171486,852
GMAB DC Equity,Genmab A/S,5.732691,61.150702,2583
MAERSKB DC Equity,AP Moller - Maersk A/S,4.419969,5.77718,21080
COLOB DC Equity,Coloplast A/S,4.147746,134.64,848.8
CARLB DC Equity,Carlsberg AS,3.368979,97.341799,953.6
NZYMB DC Equity,Novozymes A/S,3.33348,209.075888,439.3
DANSKE DC Equity,Danske Bank A/S,2.526451,681.125851,102.2
MAERSKA DC Equity,AP Moller - Maersk A/S,2.255933,2.996986,20740
TRYG DC Equity,Tryg A/S,2.179079,360.059689,166.75
CHR DC Equity,Chr Hansen Holding A/S,1.614982,96.252322,462.3
PNDORA DC Equity,Pandora A/S,1.544962,81.175,524.4
GN DC Equity,GN Store Nord AS,1.070663,122.102106,241.6
DEMANT DC Equity,Demant A/S,0.938692,96.759069,267.3
JYSK DC Equity,Jyske Bank A/S,0.726069,51.06,391.8
ROCKB DC Equity,ROCKWOOL A/S,0.699819,10.465151,1842.5
NETC DC Equity,Netcompany Group A/S,0.683013,45,418.2
AMBUB DC Equity,Ambu A/S,0.504831,192.120932,72.4
