Ticker,Name,Weight,Shares,Price
ATCOA SS Equity,Atlas Copco AB,7.912337,3357.576384,114.62
INVEB SS Equity,Investor AB,6.910366,1821.936744,184.48
HEXAB SS Equity,Hexagon AB,6.306835,2595.227888,118.2
VOLVB SS Equity,Volvo AB,6.01765,1588.464138,184.26
ASSAB SS Equity,Assa Abloy AB,5.075835,1055.050365,234
ERICB SS Equity,Telefonaktiebolaget LM Ericsson,4.934036,3072.395752,78.11
SEBA SS Equity,Skandinaviska Enskilda Banken AB,4.92774,2170.019294,110.45
SAND SS Equity,Sandvik AB,4.728578,1254.385923,183.35
AZN SS Equity,AstraZeneca PLC,4.355862,157.753725,1343
EVO SS Equity,Evolution AB,4.315167,215.111115,975.7
HMB SS Equity,H & M Hennes & Mauritz AB,4.00735,1460.672,133.44
SHBA SS Equity,Svenska Handelsbanken AB,3.677746,1944.777165,91.98
ESSITYB SS Equity,Essity AB,3.391194,641.053575,257.3
SWMA SS Equity,Swedish Match AB,3.353274,1525,106.95
ATCOB SS Equity,Atlas Copco AB,3.288713,1560.876032,102.48
SWEDA SS Equity,Swedbank AB,3.269967,1132.005722,140.5
NDA SS Equity,Nordea Bank Abp,3.26083,1560.125607,101.66
TELIA SS Equity,Telia Co AB,3.153913,4089.631702,37.51
ABB SS Equity,ABB Ltd,2.967132,471.625204,306
ALFA SS Equity,Alfa Laval AB,2.533194,413.876823,297.7
SCAB SS Equity,Svenska Cellulosa AB SCA,2.006169,637.760495,153
BOL SS Equity,Boliden AB,1.909964,273.511169,339.65
TEL2B SS Equity,Tele2 AB,1.590281,670.269715,115.4
SKFB SS Equity,SKF AB,1.4835,425.947135,169.4
GETIB SS Equity,Getinge AB,1.159498,254.152373,221.9
KINVB SS Equity,Kinnevik AB,0.920058,242.418116,184.6
ELUXB SS Equity,Electrolux AB,0.856214,274.885045,151.5
ALIV SS Equity,Autoliv Inc,0.804478,46.984544,832.8
SBBB SS Equity,Samhallsbyggnadsbolaget i Norden AB,0.464017,1244.164407,18.14
SINCH SS Equity,Sinch AB,0.418099,837.380778,24.285
