Ticker,Name,Weight,Shares,Price
NESN SE Equity,Nestle SA,18.879259,1877.675288,114.34
ROG SE Equity,Roche Holding AG,18.188698,652.596215,316.95
NOVN SE Equity,Novartis AG,17.440422,2403.721252,82.51
ZURN SE Equity,Zurich Insurance Group AG,5.758067,150.460167,435.2
CFR SE Equity,Cie Financiere Richemont SA,5.214529,522,113.6
UBSG SE Equity,UBS Group AG,4.584446,3305.893492,15.77
ABBN SE Equity,ABB Ltd,4.103139,1625.237126,28.71
LONN SE Equity,Lonza Group AG,3.731323,74.468752,569.8
SIKA SE Equity,Sika AG,3.208012,153.734734,237.3
ALC SE Equity,Alcon Inc,2.977481,499.7,67.76
GIVN SE Equity,Givaudan SA,2.333284,7.953811,3336
HOLN SE Equity,Holcim AG,2.257376,564.191018,45.5
PGHN SE Equity,Partners Group Holding AG,2.040886,22.68699,1023
SREN SE Equity,Swiss Re AG,1.903587,289.017798,74.9
GEBN SE Equity,Geberit AG,1.581107,35.874333,501.2
SLHN SE Equity,Swiss Life Holding AG,1.442251,31.528567,520.2
SGSN SE Equity,SGS SA,1.209676,6.062731,2269
CSGN SE Equity,Credit Suisse Group AG,1.184779,2517.41511,5.352
SCMN SE Equity,Swisscom AG,1.132369,25.408853,506.8
LOGN SE Equity,Logitech International SA,0.82931,173.10662,54.48
