Ticker,Name,Weight,Shares,Price
AZN LN Equity,AstraZeneca PLC,8.549517,1548.696163,10818
SHEL LN Equity,Shell PLC,8.309182,7505.337446,2169.5
HSBA LN Equity,HSBC Holdings PLC,5.594958,20117.40447,545
ULVR LN Equity,Unilever PLC,5.110339,2536.233065,3948.5
DGE LN Equity,Diageo PLC,4.442726,2254.285301,3862
BP/ LN Equity,BP PLC,4.106782,19104.39828,421.25
BATS LN Equity,British American Tobacco PLC,3.785535,2261.992938,3279.5
GSK LN Equity,GSK PLC,3.172023,3993.291186,1556.6
GLEN LN Equity,Glencore PLC,3.13584,13075.96887,469.95
RIO LN Equity,Rio Tinto PLC,2.775389,1087.08876,5003
REL LN Equity,RELX PLC,2.279505,1852.74208,2411
RKT LN Equity,Reckitt Benckiser Group PLC,2.126268,634.583554,6566
NG/ LN Equity,National Grid PLC,2.116524,3641.423395,1139
AAL LN Equity,Anglo American PLC,1.819711,1205.931918,2957
CPG LN Equity,Compass Group PLC,1.758041,1780.868361,1934.5
VOD LN Equity,Vodafone Group PLC,1.745719,28220.94695,121.22
LLOY LN Equity,Lloyds Banking Group PLC,1.612469,69492.52593,45.47
LSEG LN Equity,London Stock Exchange Group PLC,1.545561,365.786188,8280
BARC LN Equity,Barclays PLC,1.447,16703.40117,169.76
PRU LN Equity,Prudential PLC,1.39338,2746.422258,994.2
EXPN LN Equity,Experian PLC,1.379396,918.793666,2942
BA/ LN Equity,BAE Systems PLC,1.27013,3152.192684,789.6
CRH LN Equity,CRH PLC,1.257793,764.040693,3226
AHT LN Equity,Ashtead Group PLC,1.0548,441.008367,4687
TSCO LN Equity,Tesco PLC,1.024045,7515.870642,267
SSE LN Equity,SSE PLC,0.962215,1067.105277,1767
IMB LN Equity,Imperial Brands PLC,0.900789,945.475669,1867
LGEN LN Equity,Legal & General Group PLC,0.850134,5924.393265,281.2
FLTR LN Equity,Flutter Entertainment PLC,0.820493,175.606562,9156
STAN LN Equity,Standard Chartered PLC,0.7512,2440.427198,603.2
NWG LN Equity,NatWest Group PLC,0.717812,5469.04195,257.2
HLN LN Equity,Haleon PLC,0.711953,4991.613981,279.5
AV/ LN Equity,Aviva PLC,0.672633,2835.241269,464.9
SMT LN Equity,Scottish Mortgage Investment Trust PLC,0.669451,1442.882818,909.2
SGRO LN Equity,Segro PLC,0.656365,1199.83688,1072
III LN Equity,3i Group PLC,0.618495,951.718946,1273.5
BT/A LN Equity,BT Group PLC,0.562576,6944.4675,158.75
BNZL LN Equity,Bunzl PLC,0.542406,336.896825,3155
RTO LN Equity,Rentokil Initial PLC,0.521513,1863.542735,548.4
CRDA LN Equity,Croda International PLC,0.49667,134.543026,7234
IHG LN Equity,InterContinental Hotels Group PLC,0.475517,183.72069,5072
SN/ LN Equity,Smith & Nephew PLC,0.473979,871.720871,1065.5
