Ticker,Name,Weight,Shares,Price
PG UN Equity,Procter & Gamble Co/The,15.164978,2399.297,146.3
KO UN Equity,Coca-Cola Co/The,10.728682,3901.5261,63.65
PEP UW Equity,PepsiCo Inc,10.509958,1382.684,175.94
COST UW Equity,Costco Wholesale Corp,10.33679,443.224,539.82
WMT UN Equity,Walmart Inc,7.832785,1403.91882,129.14
PM UN Equity,Philip Morris International Inc,6.5717,1550.11,98.13
MDLZ UW Equity,Mondelez International Inc,3.854636,1383.924,64.47
MO UN Equity,Altria Group Inc,3.499626,1810.557,44.74
CL UN Equity,Colgate-Palmolive Co,2.908434,837.942,80.34
EL UN Equity,Estee Lauder Cos Inc/The,2.728995,231.805,272.5
ADM UN Equity,Archer-Daniels-Midland Co,2.03237,562.708,83.6
GIS UN Equity,General Mills Inc,2.018425,602.212,77.58
KMB UN Equity,Kimberly-Clark Corp,1.974688,336.925,135.66
SYY UN Equity,Sysco Corp,1.798728,509.476,81.72
STZ UN Equity,Constellation Brands Inc,1.70262,162.763,242.13
MNST UW Equity,Monster Beverage Corp,1.459322,376.06641,89.82
HSY UN Equity,Hershey Co/The,1.428338,145.991,226.46
KR UN Equity,Kroger Co/The,1.32619,656.05358,46.79
KDP UW Equity,Keurig Dr Pepper Inc,1.265176,737.64444,39.7
WBA UW Equity,Walgreens Boots Alliance Inc,1.235845,716.93159,39.9
KHC UW Equity,Kraft Heinz Co/The,1.18476,709.89216,38.63
TSN UN Equity,Tyson Foods Inc,0.999567,291.539,79.36
MKC UN Equity,McCormick & Co Inc/MD,0.970891,250.226,89.81
CHD UN Equity,Church & Dwight Co Inc,0.923925,242.771,88.09
K UN Equity,Kellogg Co,0.826671,253.40475,75.51
CLX UN Equity,Clorox Co/The,0.771504,123.08,145.09
CAG UN Equity,Conagra Brands Inc,0.713389,479.875,34.41
SJM UN Equity,J M Smucker Co/The,0.628259,108.458,134.08
HRL UN Equity,Hormel Foods Corp,0.610347,283.39896,49.85
BF/B UN Equity,Brown-Forman Corp,0.599588,182.77905,75.93
LW UN Equity,Lamb Weston Holdings Inc,0.503299,144.447,80.65
TAP UN Equity,Molson Coors Beverage Co,0.453381,188.33824,55.72
CPB UN Equity,Campbell Soup Co,0.436132,202.14168,49.94
