Ticker,Name,Weight,Shares,Price
XOM UN Equity,Exxon Mobil Corp,26.361287,4212.543,91.45
CVX UN Equity,Chevron Corp,20.949951,1964.813,155.82
COP UN Equity,ConocoPhillips,8.495109,1293.45,95.98
EOG UN Equity,EOG Resources Inc,4.368276,585.713,108.99
OXY UN Equity,Occidental Petroleum Corp,3.829699,890.33145,62.86
MPC UN Equity,Marathon Petroleum Corp,3.523526,540.995,95.18
SLB UN Equity,Schlumberger NV,3.37751,1413.461,34.92
PXD UN Equity,Pioneer Natural Resources Co,3.353677,225.02187,217.8
VLO UN Equity,Valero Energy Corp,3.120954,408.096,111.76
PSX UN Equity,Phillips 66,2.819031,481.1,85.63
WMB UN Equity,Williams Cos Inc/The,2.752119,1218.012,33.02
DVN UN Equity,Devon Energy Corp,2.522194,613.8,60.05
KMI UN Equity,Kinder Morgan Inc,2.420563,1950.02678,18.14
HES UN Equity,Hess Corp,2.03952,277.02407,107.59
OKE UN Equity,ONEOK Inc,1.902751,446.616,62.26
HAL UN Equity,Halliburton Co,1.753496,901.976,28.41
CTRA UN Equity,Coterra Energy Inc,1.562123,805.805,28.33
BKR UW Equity,Baker Hughes Co,1.558513,935.3472,24.35
FANG UW Equity,Diamondback Energy Inc,1.438984,166.84342,126.04
MRO UN Equity,Marathon Oil Corp,1.081846,707.691,22.34
APA UW Equity,APA Corp,0.76887,338.232,33.22
