Ticker,Name,Weight,Shares,Price
UNH UN Equity,UnitedHealth Group Inc,10.086448,938.172,537.72
JNJ UN Equity,Johnson & Johnson,8.979331,2631.402,170.67
PFE UN Equity,Pfizer Inc,5.603603,5610.896,49.95
ABBV UN Equity,AbbVie Inc,4.979634,1767.11,140.94
LLY UN Equity,Eli Lilly & Co,4.803066,788.6328,304.61
TMO UN Equity,Thermo Fisher Scientific Inc,4.636258,391.462,592.35
MRK UN Equity,Merck & Co Inc,4.509528,2528.805,89.19
ABT UN Equity,Abbott Laboratories,3.860368,1750.942,110.27
DHR UN Equity,Danaher Corp,3.766794,647.09853,291.14
BMY UN Equity,Bristol-Myers Squibb Co,3.186678,2129.064,74.86
CVS UN Equity,CVS Health Corp,2.728015,1311.309,104.05
AMGN UW Equity,Amgen Inc,2.692521,534.2,252.09
MDT UN Equity,Medtronic PLC,2.525896,1341.539,94.17
ELV UN Equity,Elevance Health Inc,2.320132,241.085,481.33
CI UN Equity,Cigna Corp,1.821044,317.273,287.07
ISRG UW Equity,Intuitive Surgical Inc,1.707046,358.957,237.85
ZTS UN Equity,Zoetis Inc,1.637862,470.629,174.06
GILD UW Equity,Gilead Sciences Inc,1.583471,1254.313,63.14
VRTX UW Equity,Vertex Pharmaceuticals Inc,1.512445,255.756,295.77
SYK UN Equity,Stryker Corp,1.475023,336.55706,219.2
BDX UN Equity,Becton Dickinson and Co,1.473686,285.065,258.56
REGN UW Equity,Regeneron Pharmaceuticals Inc,1.385562,108.028,641.49
EW UN Equity,Edwards Lifesciences Corp,1.291116,621.752,103.86
HUM UN Equity,Humana Inc,1.229143,126.493,486
MRNA UW Equity,Moderna Inc,1.205765,346.0512,174.27
BSX UN Equity,Boston Scientific Corp,1.196478,1429.571,41.86
CNC UN Equity,Centene Corp,1.108847,584.887,94.82
MCK UN Equity,McKesson Corp,1.04518,145.365,359.61
HCA UN Equity,HCA Healthcare Inc,0.985878,227.52268,216.72
IQV UN Equity,IQVIA Holdings Inc,0.907093,189.279,239.69
A UN Equity,Agilent Technologies Inc,0.795541,300.113,132.58
ILMN UW Equity,Illumina Inc,0.713962,157.1,227.3
RMD UN Equity,ResMed Inc,0.712428,146.285,243.58
DXCM UW Equity,Dexcom Inc,0.704176,392.504,89.73
IDXX UW Equity,IDEXX Laboratories Inc,0.672341,84.007,400.29
BIIB UW Equity,Biogen Inc,0.647241,146.452,221.04
MTD UN Equity,Mettler-Toledo International Inc,0.610716,22.68,1346.78
BAX UN Equity,Baxter International Inc,0.603047,503.529,59.9
WST UN Equity,West Pharmaceutical Services Inc,0.501848,74.076,338.84
ZBH UN Equity,Zimmer Biomet Holdings Inc,0.481757,209.577,114.97
LH UN Equity,Laboratory Corp of America Holdings,0.480246,92.7,259.11
ABC UN Equity,AmerisourceBergen Corp,0.438978,150.81408,145.58
ALGN UW Equity,Align Technology Inc,0.421743,73.28958,287.81
STE UN Equity,STERIS PLC,0.420928,100.127,210.26
CTLT UN Equity,Catalent Inc,0.404326,179.213,112.84
PKI UN Equity,PerkinElmer Inc,0.399164,126.148,158.26
WAT UN Equity,Waters Corp,0.398383,60.235,330.79
MOH UN Equity,Molina Healthcare Inc,0.387034,58.7,329.77
HOLX UW Equity,Hologic Inc,0.360197,249.381,72.24
CAH UN Equity,Cardinal Health Inc,0.341793,272.427,62.75
DGX UN Equity,Quest Diagnostics Inc,0.330823,117.365,140.98
COO UN Equity,Cooper Cos Inc/The,0.327504,49.302,332.24
TECH UW Equity,Bio-Techne Corp,0.29805,39.234,379.95
INCY UW Equity,Incyte Corp,0.279059,188.27925,74.13
ABMD UW Equity,ABIOMED Inc,0.267235,45.564,293.34
VTRS UW Equity,Viatris Inc,0.261057,1212.327,10.77
TFX UN Equity,Teleflex Inc,0.238227,46.9,254.05
BIO UN Equity,Bio-Rad Laboratories Inc,0.237348,21.64299,548.49
CRL UN Equity,Charles River Laboratories International,0.230098,50.805,226.52
HSIC UW Equity,Henry Schein Inc,0.209857,138.051,76.03
OGN UN Equity,Organon & Co,0.159845,253.637,31.52
XRAY UW Equity,DENTSPLY SIRONA Inc,0.159559,215.452,37.04
UHS UN Equity,Universal Health Services Inc,0.151181,67.128,112.64
DVA UN Equity,DaVita Inc,0.110399,60.544,91.2
