Ticker,Name,Weight,Shares,Price
AAPL UW Equity,Apple Inc,26.04958,15375.92195,169.24
MSFT UW Equity,Microsoft Corp,21.649118,7479.033,289.16
NVDA UW Equity,NVIDIA Corp,4.53628,2504.014,180.97
V UN Equity,Visa Inc,3.494241,1645.719,212.1
MA UN Equity,Mastercard Inc,3.037948,858.77969,353.38
AVGO UW Equity,Broadcom Inc,2.249583,408.281,550.41
ADBE UW Equity,Adobe Inc,2.073619,472.5,438.4
ACN UN Equity,Accenture PLC,2.006696,633.401,316.48
CSCO UW Equity,Cisco Systems Inc,1.913759,4154.168,46.02
CRM UN Equity,Salesforce Inc,1.87586,993.526,188.61
TXN UW Equity,Texas Instruments Inc,1.690388,922.134,183.12
QCOM UW Equity,QUALCOMM Inc,1.64802,1120,146.99
AMD UW Equity,Advanced Micro Devices Inc,1.606801,1620.508,99.05
INTC UW Equity,Intel Corp,1.4478,4089,35.37
INTU UW Equity,Intuit Inc,1.353518,282.812,478.09
ORCL UN Equity,Oracle Corp,1.221928,1574.21263,77.54
IBM UN Equity,International Business Machines Corp,1.184001,899.435,131.5
PYPL UW Equity,PayPal Holdings Inc,1.146622,1158.04,98.91
ADP UW Equity,Automatic Data Processing Inc,1.055795,417.747,252.47
NOW UN Equity,ServiceNow Inc,1.035863,200.46,516.2
AMAT UW Equity,Applied Materials Inc,0.928983,883.395,105.05
ADI UW Equity,Analog Devices Inc,0.917184,523.315,175.08
LRCX UW Equity,Lam Research Corp,0.687292,138.715,494.95
MU UW Equity,Micron Technology Inc,0.686355,1116.667,61.4
FISV UW Equity,Fiserv Inc,0.620453,581.7546,106.54
FIS UN Equity,Fidelity National Information Services I,0.61068,610.771,99.88
SNPS UW Equity,Synopsys Inc,0.575813,153.099,375.71
KLAC UW Equity,KLA Corp,0.559488,149.235,374.51
CDNS UW Equity,Cadence Design Systems Inc,0.51439,275.759,186.34
ADSK UW Equity,Autodesk Inc,0.492825,217.527,226.32
NXPI UW Equity,NXP Semiconductors NV,0.473035,262.565,179.97
APH UN Equity,Amphenol Corp,0.468231,597.139,78.33
ROP UN Equity,Roper Technologies Inc,0.465108,105.913,438.68
TEL UN Equity,TE Connectivity Ltd,0.432845,322.174,134.21
PAYX UW Equity,Paychex Inc,0.427271,321.30513,132.84
MSI UN Equity,Motorola Solutions Inc,0.423707,167.297,253
ENPH UQ Equity,Enphase Energy Inc,0.409903,135.028,303.25
MCHP UW Equity,Microchip Technology Inc,0.393443,555.991,70.69
GPN UN Equity,Global Payments Inc,0.373715,281.54,132.6
CTSH UW Equity,Cognizant Technology Solutions Corp,0.360197,521.174,69.04
FTNT UW Equity,Fortinet Inc,0.359386,666.18705,53.89
HPQ UN Equity,HP Inc,0.35831,1053.366,33.98
KEYS UN Equity,Keysight Technologies Inc,0.303416,181.975,166.56
ON UW Equity,ON Semiconductor Corp,0.287945,434.506,66.2
ANET UN Equity,Arista Networks Inc,0.287151,225.03272,127.47
GLW UN Equity,Corning Inc,0.28003,760.1508,36.8
EPAM UN Equity,EPAM Systems Inc,0.252255,57.151,440.92
ANSS UW Equity,ANSYS Inc,0.250098,86.99,287.2
IT UN Equity,Gartner Inc,0.242194,80.539,300.4
CDW UW Equity,CDW Corp/DE,0.238068,135.116,176.01
MPWR UW Equity,Monolithic Power Systems Inc,0.233502,43.84442,532.01
BR UN Equity,Broadridge Financial Solutions Inc,0.200106,117.227,170.52
VRSN UW Equity,VeriSign Inc,0.190666,95.30415,199.85
HPE UN Equity,Hewlett Packard Enterprise Co,0.188848,1300.136,14.51
TDY UN Equity,Teledyne Technologies Inc,0.185356,46.843,395.28
PAYC UN Equity,Paycom Software Inc,0.181885,48.15245,377.33
SEDG UW Equity,SolarEdge Technologies Inc,0.179498,55.387,323.74
SWKS UW Equity,Skyworks Solutions Inc,0.178832,160.926,111.01
TRMB UW Equity,Trimble Inc,0.175284,250.142,70
FLT UN Equity,FleetCor Technologies Inc,0.173805,77.341,224.49
ZBRA UW Equity,Zebra Technologies Corp,0.172884,52.514,328.87
TYL UN Equity,Tyler Technologies Inc,0.172531,41.474,415.56
NTAP UW Equity,NetApp Inc,0.16329,222.536,73.3
STX UW Equity,Seagate Technology Holdings PLC,0.158964,197.65648,80.34
TER UW Equity,Teradyne Inc,0.15896,160.203,99.12
AKAM UW Equity,Akamai Technologies Inc,0.154039,160.305,95.99
JKHY UW Equity,Jack Henry & Associates Inc,0.152558,72.862,209.16
WDC UW Equity,Western Digital Corp,0.149476,313.168,47.68
NLOK UW Equity,NortonLifeLock Inc,0.141774,581.861,24.34
PTC UW Equity,PTC Inc,0.12965,105.2784,123.02
CTXS UW Equity,Citrix Systems Inc,0.1282,124.723,102.68
QRVO UW Equity,Qorvo Inc,0.118326,108.432,109.01
FFIV UW Equity,F5 Inc,0.103104,60.472,170.32
CDAY UN Equity,Ceridian HCM Holding Inc,0.093943,137.3805,68.31
JNPR UN Equity,Juniper Networks Inc,0.09289,323.095,28.72
DXC UN Equity,DXC Technology Co,0.064439,244.478,26.33
