Ticker,Name,Weight,Shares,Price
LIN UN Equity,Linde PLC,17.449517,503.282,309.4
APD UN Equity,Air Products and Chemicals Inc,6.601422,221.773,265.63
SHW UN Equity,Sherwin-Williams Co/The,6.536699,239.32052,243.74
FCX UN Equity,Freeport-McMoRan Inc,5.099508,1449.262,31.4
CTVA UN Equity,Corteva Inc,4.87318,723.7,60.09
ECL UN Equity,Ecolab Inc,4.753859,248.51985,170.7
DOW UN Equity,Dow Inc,4.409195,728.102,54.04
NUE UN Equity,Nucor Corp,4.218522,266.062,141.49
NEM UN Equity,Newmont Corp,4.067967,793.651,45.74
PPG UN Equity,PPG Industries Inc,3.534532,236.194,133.54
IFF UN Equity,International Flavors & Fragrances Inc,3.513966,254.838,123.05
DD UN Equity,DuPont de Nemours Inc,3.46131,508.527,60.74
ALB UN Equity,Albemarle Corp,3.402979,117.113,259.3
VMC UN Equity,Vulcan Materials Co,2.599015,132.896,174.52
LYB UN Equity,LyondellBasell Industries NV,2.58132,258.82138,89
MLM UN Equity,Martin Marietta Materials Inc,2.553229,62.365,365.34
CF UN Equity,CF Industries Holdings Inc,2.391598,208.602,102.31
MOS UN Equity,Mosaic Co/The,2.190106,361.993,53.99
AMCR UN Equity,Amcor PLC,2.14037,1502.767,12.71
BALL UN Equity,Ball Corp,2.059833,319.789,57.48
AVY UN Equity,Avery Dennison Corp,1.806747,81.714,197.31
IP UN Equity,International Paper Co,1.802938,370.629,43.41
FMC UN Equity,FMC Corp,1.541537,125.939,109.23
PKG UN Equity,Packaging Corp of America,1.482413,93.701,141.18
EMN UN Equity,Eastman Chemical Co,1.414359,128.882,97.93
CE UN Equity,Celanese Corp,1.382056,108.309,113.87
WRK UN Equity,Westrock Co,1.190045,254.852,41.67
SEE UN Equity,Sealed Air Corp,0.941778,146.084,57.53
