Ticker,Name,Weight,Shares,Price
AMT UN Equity,American Tower Corp,12.587716,464.697,277.79
PLD UN Equity,Prologis Inc,9.702428,740.267,134.41
CCI UN Equity,Crown Castle Inc,7.676696,433.032,181.8
EQIX UW Equity,Equinix Inc,6.297015,91.022,709.46
PSA UN Equity,Public Storage,5.152193,152.71023,345.99
O UN Equity,Realty Income Corp,4.348714,601.598,74.13
WELL UN Equity,Welltower Inc,3.687923,453.967,83.31
SBAC UW Equity,SBA Communications Corp,3.683923,107.829,350.36
DLR UN Equity,Digital Realty Trust Inc,3.678079,284.672,132.5
SPG UN Equity,Simon Property Group Inc,3.566105,328.342,111.38
VICI UN Equity,VICI Properties Inc,3.268825,963.002,34.81
AVB UN Equity,AvalonBay Communities Inc,2.91386,139.818,213.72
CBRE UN Equity,CBRE Group Inc,2.718133,326.861,85.28
EXR UN Equity,Extra Space Storage Inc,2.708359,134.28,206.84
EQR UN Equity,Equity Residential,2.623774,342.19822,78.63
WY UN Equity,Weyerhaeuser Co,2.619332,744.498,36.08
ARE UN Equity,Alexandria Real Estate Equities Inc,2.412352,148.52838,166.56
DRE UN Equity,Duke Realty Corp,2.380188,384.455,63.49
MAA UN Equity,Mid-America Apartment Communities Inc,2.079374,115.428,184.74
VTR UN Equity,Ventas Inc,2.007232,399.696,51.5
ESS UN Equity,Essex Property Trust Inc,1.855173,65.333,291.2
IRM UN Equity,Iron Mountain Inc,1.533689,290.562,54.13
CPT UN Equity,Camden Property Trust,1.488996,106.521,143.35
PEAK UN Equity,Healthpeak Properties Inc,1.48265,539.557,28.18
UDR UN Equity,UDR Inc,1.435328,299.29694,49.18
KIM UN Equity,Kimco Realty Corp,1.363159,618.007,22.62
HST UW Equity,Host Hotels & Resorts Inc,1.306173,714.777,18.74
BXP UN Equity,Boston Properties Inc,1.220396,142.60792,87.76
REG UW Equity,Regency Centers Corp,0.985051,155.1258,65.12
FRT UN Equity,Federal Realty OP LP,0.762309,71.478,109.37
VNO UN Equity,Vornado Realty Trust,0.454856,159.14669,29.31
