Ticker,Name,Weight,Shares,Price
GOOGL UW Equity,Alphabet Inc,23.727417,6015.28,119.7
GOOG UW Equity,Alphabet Inc,21.928363,5515.4176,120.65
META UW Equity,Meta Platforms Inc,13.478811,2293.519,178.34
DIS UN Equity,Walt Disney Co/The,6.748512,1821.484,112.43
VZ UN Equity,Verizon Communications Inc,6.205525,4199.644,44.84
CMCSA UW Equity,Comcast Corp,5.739609,4470.57,38.96
T UN Equity,AT&T Inc,4.248803,7159,18.01
NFLX UW Equity,Netflix Inc,3.573855,444.274,244.11
TMUS UW Equity,T-Mobile US Inc,2.812164,589.18495,144.84
ATVI UW Equity,Activision Blizzard Inc,2.084699,781.881,80.91
CHTR UW Equity,Charter Communications Inc,1.765963,115.82202,462.69
EA UW Equity,Electronic Arts Inc,1.215489,281.222,131.16
TWTR UN Equity,Twitter Inc,1.116803,762.781,44.43
WBD UW Equity,Warner Bros Discovery Inc,0.953356,2208.42804,13.1
TTWO UW Equity,Take-Two Interactive Software Inc,0.644892,158.0887,123.79
MTCH UW Equity,Match Group Inc,0.621614,285.593,66.05
PARA UW Equity,Paramount Global,0.503022,608.395,25.09
OMC UN Equity,Omnicom Group Inc,0.487047,205.733,71.84
LYV UN Equity,Live Nation Entertainment Inc,0.441657,136.94134,97.87
IPG UN Equity,Interpublic Group of Cos Inc/The,0.386194,393.664,29.77
FOXA UW Equity,Fox Corp,0.358254,311.684,34.88
LUMN UN Equity,Lumen Technologies Inc,0.333652,929.7495,10.89
NWSA UW Equity,News Corp,0.236185,388.469,18.45
DISH UW Equity,DISH Network Corp,0.159885,250.7416,19.35
FOX UW Equity,Fox Corp,0.154233,144.58835,32.37
NWS UW Equity,News Corp,0.073996,120.33653,18.66
