Ticker,Name,Weight,Shares,Price
NEE UN Equity,NextEra Energy Inc,16.566335,1964.5,89.78
DUK UN Equity,Duke Energy Corp,7.959002,769.9,110.06
SO UN Equity,Southern Co/The,7.813404,1062.525,78.29
D UN Equity,Dominion Energy Inc,6.259144,811.27,82.14
AEP UW Equity,American Electric Power Co Inc,4.888249,513.544,101.34
SRE UN Equity,Sempra Energy,4.82626,314.305,163.48
EXC UW Equity,Exelon Corp,4.191906,980.21,45.53
XEL UW Equity,Xcel Energy Inc,3.842488,544.653,75.11
ED UN Equity,Consolidated Edison Inc,3.294209,354.295,98.99
PEG UN Equity,Public Service Enterprise Group Inc,3.122696,499.259,66.59
WEC UN Equity,WEC Energy Group Inc,3.115994,315.435,105.17
ES UN Equity,Eversource Energy,2.968881,344.878,91.65
AWK UN Equity,American Water Works Co Inc,2.676328,181.753,156.77
EIX UN Equity,Edison International,2.438701,381.2,68.11
DTE UN Equity,DTE Energy Co,2.406802,193.739,132.26
CEG UW Equity,Constellation Energy Corp,2.366517,326.699,77.12
AEE UN Equity,Ameren Corp,2.278732,258.227,93.95
ETR UN Equity,Entergy Corp,2.258298,203.374,118.22
FE UN Equity,FirstEnergy Corp,2.119854,570.932,39.53
PPL UN Equity,PPL Corp,2.004534,735.903,29
CNP UN Equity,CenterPoint Energy Inc,1.89607,629.449,32.07
CMS UN Equity,CMS Energy Corp,1.873794,290.129,68.76
AES UN Equity,AES Corp/The,1.532511,667.86,24.43
EVRG UN Equity,Evergy Inc,1.499539,229.478,69.57
ATO UN Equity,Atmos Energy Corp,1.49468,139.015,114.47
LNT UW Equity,Alliant Energy Corp,1.45921,250.814,61.94
NI UN Equity,NiSource Inc,1.159863,405.798,30.43
NRG UN Equity,NRG Energy Inc,0.874565,237.284,39.24
PNW UN Equity,Pinnacle West Capital Corp,0.811437,113.001,76.45
