Ticker,Name,Weight,Shares,Price
VRTX UW Equity,Vertex Pharmaceuticals Inc,7.129721,274.458681,297.1
AMGN UW Equity,Amgen Inc,6.891914,313.394707,251.51
GILD UW Equity,Gilead Sciences Inc,6.843209,1240.724087,63.08
REGN UW Equity,Regeneron Pharmaceuticals Inc,6.529721,115.927838,644.19
MRNA UW Equity,Moderna Inc,6.499997,426.846561,174.16
AZN UW Equity,AstraZeneca PLC,3.511264,605.151602,66.36
ILMN UW Equity,Illumina Inc,3.334594,167.990974,227.02
SGEN UW Equity,Seagen Inc,3.045076,198.394305,175.54
BIIB UW Equity,Biogen Inc,3.038916,157.844051,220.19
ALNY UW Equity,Alnylam Pharmaceuticals Inc,2.642396,130.211263,232.09
RPRX UW Equity,Royalty Pharma PLC,1.802155,469.178306,43.93
BMRN UW Equity,BioMarin Pharmaceutical Inc,1.66944,199.38555,95.76
INCY UW Equity,Incyte Corp,1.547507,238.735185,74.135
HZNP UW Equity,Horizon Therapeutics Plc,1.489386,247.766032,68.75
BNTX UW Equity,BioNTech SE,1.330266,94.975197,160.19
VTRS UW Equity,Viatris Inc,1.23387,1306.62998,10.8
SNY UW Equity,Sanofi,1.211309,306.834599,45.15
ARGX UW Equity,Argenx SE,1.041372,32.016659,371.995
NBIX UW Equity,Neurocrine Biosciences Inc,0.965905,103.011268,107.24
UTHR UW Equity,United Therapeutics Corp,0.946892,48.823218,221.81
SRPT UW Equity,Sarepta Therapeutics Inc,0.93253,94.307384,113.09
JAZZ UW Equity,Jazz Pharmaceuticals PLC,0.930262,67.167221,158.4
BGNE UW Equity,BeiGene Ltd,0.886818,53.012852,191.32
NVCR UW Equity,Novocure Ltd,0.787197,112.721515,79.87
KRTX UQ Equity,Karuna Therapeutics Inc,0.724044,32.20721,257.11
SYNH UW Equity,Syneos Health Inc,0.677426,110.554014,70.08
APLS UW Equity,Apellis Pharmaceuticals Inc,0.666851,114.807813,66.43
IONS UW Equity,Ionis Pharmaceuticals Inc,0.615087,152.82786,46.03
EXEL UW Equity,Exelixis Inc,0.586383,345.690126,19.4
CRSP UQ Equity,CRISPR Therapeutics AG,0.578404,83.482222,79.24
HALO UW Equity,Halozyme Therapeutics Inc,0.570574,148.680349,43.89
MEDP UW Equity,Medpace Holdings Inc,0.559383,36.264437,176.415
ITCI UW Equity,Intra-Cellular Therapies Inc,0.525513,101.661503,59.12
GH UW Equity,Guardant Health Inc,0.504937,109.851615,52.57
ASND UW Equity,Ascendis Pharma A/S,0.49102,59.779915,93.94
NTLA UQ Equity,Intellia Therapeutics Inc,0.476149,81.754302,66.61
ARWR UW Equity,Arrowhead Pharmaceuticals Inc,0.466531,113.961084,46.82
DNLI UW Equity,Denali Therapeutics Inc,0.444223,132.512145,38.34
BEAM UW Equity,Beam Therapeutics Inc,0.436707,75.73259,65.95
MRTX UW Equity,Mirati Therapeutics Inc,0.433323,59.846137,82.81
CYTK UW Equity,Cytokinetics Inc,0.427719,92.314827,52.99
GBT UW Equity,Global Blood Therapeutics Inc,0.409707,70.161944,66.785
ALKS UW Equity,Alkermes PLC,0.395729,176.139408,25.695
BPMC UW Equity,Blueprint Medicines Corp,0.395661,64.204351,70.48
VIR UW Equity,Vir Biotechnology Inc,0.384224,142.672786,30.8
PTCT UW Equity,PTC Therapeutics Inc,0.360139,76.887458,53.57
ABCL UW Equity,AbCellera Biologics Inc,0.354751,306.669383,13.23
RARE UW Equity,Ultragenyx Pharmaceutical Inc,0.342289,75.369839,51.94
CCXI UW Equity,ChemoCentryx Inc,0.34146,76.731257,50.895
FOLD UQ Equity,Amicus Therapeutics Inc,0.335305,301.955582,12.7
MRVI UW Equity,Maravai LifeSciences Holdings Inc,0.328863,141.770153,26.53
INSM UW Equity,Insmed Inc,0.319308,128.814074,28.35
NVAX UW Equity,Novavax Inc,0.302408,84.212438,41.07
FATE UQ Equity,Fate Therapeutics Inc,0.295858,104.145556,32.49
HRMY UQ Equity,Harmony Biosciences Holdings Inc,0.291807,63.641403,52.44
ARVN UW Equity,Arvinas Inc,0.291346,57.301574,58.15
ZLAB UQ Equity,Zai Lab Ltd,0.286064,73.66985,44.41
TWST UW Equity,Twist Bioscience Corp,0.278419,60.64064,52.51
BCRX UW Equity,BioCryst Pharmaceuticals Inc,0.257231,200.062349,14.705
PCRX UW Equity,Pacira BioSciences Inc,0.245565,48.971133,57.35
ACAD UW Equity,ACADIA Pharmaceuticals Inc,0.244773,173.986439,16.09
LEGN UW Equity,Legend Biotech Corp,0.244672,57.412355,48.74
CVAC UQ Equity,CureVac NV,0.244553,201.579698,13.875
SAGE UQ Equity,Sage Therapeutics Inc,0.238097,63.660718,42.775
XENE UQ Equity,Xenon Pharmaceuticals Inc,0.234948,67.042739,40.08
ALLO UW Equity,Allogene Therapeutics Inc,0.224573,154.770528,16.595
MYGN UW Equity,Myriad Genetics Inc,0.208061,86.592805,27.48
RLAY UQ Equity,Relay Therapeutics Inc,0.206639,117.110951,20.18
RVMD UW Equity,REVOLUTION Medicines Inc,0.19789,92.414982,24.49
KRYS UQ Equity,Krystal Biotech Inc,0.18505,27.629214,76.6
RXDX UW Equity,Prometheus Biosciences Inc,0.183588,42.246971,49.7
VERV UW Equity,Verve Therapeutics Inc,0.182619,64.562424,32.35
IOVA UQ Equity,Iovance Biotherapeutics Inc,0.181956,169.393947,12.285
LYEL UW Equity,Lyell Immunopharma Inc,0.17814,265.281215,7.68
AXSM UQ Equity,Axsome Therapeutics Inc,0.176719,41.940512,48.19
VCYT UQ Equity,Veracyte Inc,0.176064,77.00285,26.15
IRWD UW Equity,Ironwood Pharmaceuticals Inc,0.171141,165.804427,11.805
XNCR UQ Equity,Xencor Inc,0.1703,64.174591,30.35
IBRX UW Equity,ImmunityBio Inc,0.170074,428.912559,4.535
TVTX UQ Equity,Travere Therapeutics Inc,0.169927,68.454717,28.39
ADPT UW Equity,Adaptive Biotechnologies Corp,0.169082,153.291414,12.615
BBIO UW Equity,Bridgebio Pharma Inc,0.168134,159.182496,12.08
LGND UQ Equity,Ligand Pharmaceuticals Inc,0.167367,18.172929,105.33
KYMR UQ Equity,Kymera Therapeutics Inc,0.165631,55.747639,33.98
ZNTL UQ Equity,Zentalis Pharmaceuticals Inc,0.164576,61.390527,30.66
PACB UW Equity,Pacific Biosciences of California Inc,0.162185,241.837417,7.67
SUPN UQ Equity,Supernus Pharmaceuticals Inc,0.159262,57.568056,31.64
DAWN UW Equity,Day One Biopharmaceuticals Inc,0.158578,77.50573,23.4
SIGA UQ Equity,SIGA Technologies Inc,0.156462,78.038952,22.93
RXRX UW Equity,Recursion Pharmaceuticals Inc,0.151769,176.578297,9.83
ISEE UW Equity,IVERIC bio Inc,0.149481,125.475118,13.625
AMPH UW Equity,Amphastar Pharmaceuticals Inc,0.147942,52.628108,32.15
RVNC UQ Equity,Revance Therapeutics Inc,0.147505,78.428566,21.51
AGIO UW Equity,Agios Pharmaceuticals Inc,0.145602,59.050784,28.2
PCVX UW Equity,Vaxcyte Inc,0.144748,62.849876,26.34
SANA UW Equity,Sana Biotechnology Inc,0.144064,204.421596,8.06
GMAB UW Equity,Genmab A/S,0.141697,45.496023,35.62
RGNX UW Equity,REGENXBIO Inc,0.141132,46.489179,34.72
PRTA UW Equity,Prothena Corp PLC,0.140047,50.447132,31.75
BLU UW Equity,BELLUS Health Inc,0.138492,132.878555,11.92
SWTX UW Equity,SpringWorks Therapeutics Inc,0.135183,53.2575,29.03
ENTA UW Equity,Enanta Pharmaceuticals Inc,0.131579,22.323866,67.41
