Ticker,Name,Weight,Shares,Price
PEF4868 US Equity,Siguler Guff Distressed Real Estate Oppo,--,1,--
PEF2449 US Equity,Centerbridge Capital Partners II LP,--,1,--
PE09541 US Equity,Clarion Lion Properties Fund LP,--,1,--
PE12805 US Equity,OHA Strategic Credit Master Fund II LP,--,1,--
PEF7609 US Equity,Hamilton Lane Private Equity Fund VI LP,--,1,--
PEF3788 US Equity,Carlyle Realty Partners IV LP,--,1,--
PEF2969 US Equity,Louisiana Fund I LP,--,1,--
PEF2692 US Equity,GSO Capital Opportunities Fund II LP,--,1,--
PEF6712 US Equity,Sterling Capital Partners IV LP,--,1,--
PEF4013 US Equity,Vista Equity Partners Fund IV LP,--,1,--
PEF4893 US Equity,Khosla Ventures IV LP,--,1,--
PE00956 US Equity,New Jersey Asia Alternatives II LP,--,1,--
PEF3113 LN Equity,Coller International Partners VI LP,--,1,--
PEF5706 US Equity,Siguler Guff Small Buyout Opportunities,--,1,--
PEF3096 US Equity,Blackstone Real Estate Partners VII LP,--,1,--
PEF2477 US Equity,Carlyle Realty Partners VI LP,--,1,--
PEF4580 US Equity,Adams Street Partnership Fund - 2007 Non,--,1,--
PEF4842 LN Equity,Green Equity Investors VI LP,--,1,--
PEF5376 LN Equity,AnaCap Credit Opportunities Fund II LP,--,1,--
PEF7347 US Equity,Drum Special Situation Partners III LP,--,1,--
PEF3930 US Equity,TPG Growth II LP,--,1,--
PEF4104 US Equity,ABR Chesapeake Investors IV LP,--,1,--
PEF3882 LN Equity,Fifth Cinven Fund LP,--,1,--
PEF3658 US Equity,Blackstone Energy Partners LP,--,1,--
PEF8464 US Equity,DCM Private Equity Fund II LLC,--,1,--
PEF6210 US Equity,Northwood Real Estate Co-Investors LP,--,1,--
PEF5433 US Equity,FLAG Global Partners LP,--,1,--
PEF6015 US Equity,JP Morgan Global Maritime Investment Fun,--,1,--
PEF0903 US Equity,Realty Associates Fund X LP,--,1,--
PEF6545 US Equity,Warburg Pincus Private Equity XI LP,--,1,--
PEF8808 US Equity,TPG Opportunities Partners II LP,--,1,--
PEF7460 US Equity,Tenaya Capital VI LP,--,1,--
PEF8721 US Equity,Thompson Street Capital II LP,--,1,--
