Ticker,Name,Weight,Shares,Price
PE10923 US Equity,Firstmark Capital IV LP,--,1,--
PE13387 US Equity,Firstmark Capital Opportunity Fund II,--,1,--
PE21664 CH Equity,LYZZ Capital Healthcare Fund II LP,--,1,--
PE17367 LN Equity,Longwall Ventures 3 ECF LP,--,1,--
PE02952 US Equity,Firstmark III LP,--,1,--
PE22545 US Equity,Firstmark Capital Opportunity Fund III,--,1,--
PEF7460 US Equity,Tenaya Capital VI LP,--,1,--
PE22531 US Equity,Insight Venture Partners XI LP,--,1,--
PEF4956 US Equity,Ascent Venture Partners IV LP,--,1,--
PEF4957 US Equity,Ascent Venture Partners V LP,--,1,--
PE22356 US Equity,Greenspring Opportunities VI LP,--,1,--
PE24860 US Equity,TCV XI LP,--,1,--
PE24801 US Equity,Greenspring Diversity Fund I LP,--,1,--
PE14018 US Equity,Catalyst Fund V LLC,--,1,--
PEF8859 US Equity,Murphree Venture Partners VI LP,--,1,--
BNEF578 US Equity,SAIL Venture Partners II LP,--,1,--
PEF0533 US Equity,Greenspring Crossover Ventures LP,--,1,--
PEF4952 US Equity,Ascend Ventures II LP,--,1,--
PEF2969 US Equity,Louisiana Fund I LP,--,1,--
PEF5288 US Equity,Charles River Partnership XI LP,--,1,--
PE06963 US Equity,Ascent Venture Partners VI LP,--,1,--
PEF4893 US Equity,Khosla Ventures IV LP,--,1,--
PEF7406 US Equity,Technology Crossover Ventures VIII LP,--,1,--
PEF1021 US Equity,Accel Europe LP,--,1,--
PE26526 US Equity,Insight Venture Partners XII LP,--,1,--
PE07894 US Equity,Firstmark Capital Opportunity Fund I,--,1,--
PE18295 US Equity,Columbia Capital Equity Partners VII LP,--,1,--
