Ticker,Name,Weight,Shares,Price
AAPL UW Equity,Apple Inc,6.55607,15276.156,169.24
MSFT UW Equity,Microsoft Corp,5.481308,7475.144,289.16
AMZN UW Equity,Amazon.com Inc,3.212976,8879.48,142.69
TSLA UW Equity,Tesla Inc,1.896952,847.1,883.07
GOOGL UW Equity,Alphabet Inc,1.824101,6009.36,119.7
GOOG UW Equity,Alphabet Inc,1.679115,5488.16,120.65
BRK/B UN Equity,Berkshire Hathaway Inc,1.348804,1802.348,295.11
UNH UN Equity,UnitedHealth Group Inc,1.274199,934.447,537.72
JNJ UN Equity,Johnson & Johnson,1.137909,2629.201,170.67
NVDA UW Equity,NVIDIA Corp,1.104095,2405.877,180.97
META UW Equity,Meta Platforms Inc,1.035958,2290.693,178.34
XOM UN Equity,Exxon Mobil Corp,0.976695,4211.618,91.45
PG UN Equity,Procter & Gamble Co/The,0.885814,2387.655,146.3
V UN Equity,Visa Inc,0.884606,1644.685,212.1
JPM UN Equity,JPMorgan Chase & Co,0.874828,2913.944,118.39
HD UN Equity,Home Depot Inc/The,0.815601,1032.242,311.58
CVX UN Equity,Chevron Corp,0.775767,1963.278,155.82
MA UN Equity,Mastercard Inc,0.770654,859.985,353.38
PFE UN Equity,Pfizer Inc,0.71521,5646.402,49.95
LLY UN Equity,Eli Lilly & Co,0.650228,841.773,304.61
ABBV UN Equity,AbbVie Inc,0.631037,1765.608,140.94
KO UN Equity,Coca-Cola Co/The,0.629601,3900.68,63.65
BAC UN Equity,Bank of America Corp,0.623996,7016.488,35.07
PEP UW Equity,PepsiCo Inc,0.616186,1381.087,175.94
COST UW Equity,Costco Wholesale Corp,0.605478,442.306,539.82
TMO UN Equity,Thermo Fisher Scientific Inc,0.587156,390.885,592.35
MRK UN Equity,Merck & Co Inc,0.571592,2527.221,89.19
AVGO UW Equity,Broadcom Inc,0.556816,398.932,550.41
ADBE UW Equity,Adobe Inc,0.524108,471.437,438.4
DIS UN Equity,Walt Disney Co/The,0.51897,1820.26,112.43
ACN UN Equity,Accenture PLC,0.50802,633.006,316.48
MCD UN Equity,McDonald's Corp,0.489316,738.284,261.36
CSCO UW Equity,Cisco Systems Inc,0.484737,4153.681,46.02
ABT UN Equity,Abbott Laboratories,0.479022,1713.057,110.27
DHR UN Equity,Danaher Corp,0.477451,646.697,291.14
VZ UN Equity,Verizon Communications Inc,0.477447,4198.879,44.84
WMT UN Equity,Walmart Inc,0.471625,1440.156,129.14
CRM UN Equity,Salesforce Inc,0.459849,961.444,188.61
NEE UN Equity,NextEra Energy Inc,0.446544,1961.362,89.78
CMCSA UW Equity,Comcast Corp,0.438908,4442.51,38.96
TXN UW Equity,Texas Instruments Inc,0.427734,921.11,183.12
WFC UN Equity,Wells Fargo & Co,0.425913,3788.756,44.33
QCOM UW Equity,QUALCOMM Inc,0.417254,1119.403,146.99
AMD UW Equity,Advanced Micro Devices Inc,0.405294,1613.575,99.05
BMY UN Equity,Bristol-Myers Squibb Co,0.403894,2127.607,74.86
LIN UN Equity,Linde PLC,0.393792,501.904,309.4
PM UN Equity,Philip Morris International Inc,0.385222,1548.042,98.13
UPS UN Equity,United Parcel Service Inc,0.37687,734.377,202.37
UNP UN Equity,Union Pacific Corp,0.374955,627.166,235.76
INTC UW Equity,Intel Corp,0.366681,4088.153,35.37
RTX UN Equity,Raytheon Technologies Corp,0.351928,1485.552,93.42
NKE UN Equity,NIKE Inc,0.351202,1224.094,113.14
CVS UN Equity,CVS Health Corp,0.345529,1309.532,104.05
AMGN UW Equity,Amgen Inc,0.341016,533.449,252.09
HON UW Equity,Honeywell International Inc,0.340254,680.306,197.23
SPGI UN Equity,S&P Global Inc,0.338324,339.307,393.2
LOW UN Equity,Lowe's Cos Inc,0.337526,660.78,201.43
INTU UW Equity,Intuit Inc,0.333764,275.298,478.09
T UN Equity,AT&T Inc,0.326668,7152.635,18.01
AMT UN Equity,American Tower Corp,0.326513,463.508,277.79
MDT UN Equity,Medtronic PLC,0.318862,1335.254,94.17
COP UN Equity,ConocoPhillips,0.314596,1292.548,95.98
