Ticker,Name,Weight,Shares,Price
AAPL UW Equity,Apple Inc,12.729485,15276.156,169.24
MSFT UW Equity,Microsoft Corp,10.642692,7475.144,289.16
AMZN UW Equity,Amazon.com Inc,6.238423,8879.48,142.69
TSLA UW Equity,Tesla Inc,3.683185,847.1,883.07
GOOGL UW Equity,Alphabet Inc,3.08131,5228.144,119.7
GOOG UW Equity,Alphabet Inc,2.836398,4774.7,120.65
UNH UN Equity,UnitedHealth Group Inc,2.251366,850.347,537.72
NVDA UW Equity,NVIDIA Corp,2.143748,2405.877,180.97
V UN Equity,Visa Inc,1.717581,1644.685,212.1
MA UN Equity,Mastercard Inc,1.496327,859.985,353.38
ABBV UN Equity,AbbVie Inc,1.225243,1765.608,140.94
COST UW Equity,Costco Wholesale Corp,1.175616,442.306,539.82
AVGO UW Equity,Broadcom Inc,1.081132,398.932,550.41
LLY UN Equity,Eli Lilly & Co,1.02768,685.204,304.61
ADBE UW Equity,Adobe Inc,1.017625,471.437,438.4
PEP UW Equity,PepsiCo Inc,1.010965,1167.019,175.94
ACN UN Equity,Accenture PLC,0.986388,633.006,316.48
HD UN Equity,Home Depot Inc/The,0.918487,598.701,311.58
KO UN Equity,Coca-Cola Co/The,0.91684,2925.51,63.65
QCOM UW Equity,QUALCOMM Inc,0.810155,1119.403,146.99
PG UN Equity,Procter & Gamble Co/The,0.732688,1017.141,146.3
UNP UN Equity,Union Pacific Corp,0.728025,627.166,235.76
NKE UN Equity,NIKE Inc,0.681906,1224.094,113.14
UPS UN Equity,United Parcel Service Inc,0.652716,655.065,202.37
INTU UW Equity,Intuit Inc,0.648047,275.298,478.09
AMD UW Equity,Advanced Micro Devices Inc,0.620103,1271.498,99.05
TXN UW Equity,Texas Instruments Inc,0.568895,630.961,183.12
LOW UN Equity,Lowe's Cos Inc,0.56557,570.254,201.43
AMGN UW Equity,Amgen Inc,0.556189,448.098,252.09
NOW UN Equity,ServiceNow Inc,0.508384,200.023,516.2
LMT UN Equity,Lockheed Martin Corp,0.502,237.111,429.99
AMT UN Equity,American Tower Corp,0.486254,355.511,277.79
DE UN Equity,Deere & Co,0.485841,280.036,352.36
ADP UW Equity,Automatic Data Processing Inc,0.47601,382.924,252.47
MRK UN Equity,Merck & Co Inc,0.465015,1058.905,89.19
AMAT UW Equity,Applied Materials Inc,0.455606,880.846,105.05
CAT UN Equity,Caterpillar Inc,0.435793,464.077,190.72
META UW Equity,Meta Platforms Inc,0.428438,487.917,178.34
BKNG UW Equity,Booking Holdings Inc,0.404233,40.569,2023.6899
ZTS UN Equity,Zoetis Inc,0.4031,470.349,174.06
ORCL UN Equity,Oracle Corp,0.396367,1038.192,77.54
IBM UN Equity,International Business Machines Corp,0.388842,600.556,131.5
CCI UN Equity,Crown Castle Inc,0.385801,430.999,181.8
ISRG UW Equity,Intuitive Surgical Inc,0.385563,329.229,237.85
MMC UN Equity,Marsh & McLennan Cos Inc,0.37355,447.12,169.68
BX UN Equity,Blackstone Inc,0.37157,699.14,107.94
TJX UN Equity,TJX Cos Inc/The,0.363981,1172.836,63.03
