Ticker,Name,Weight,Shares,Price
BRK/B UN Equity,Berkshire Hathaway Inc,2.781214,1802.348,295.11
JNJ UN Equity,Johnson & Johnson,2.34635,2629.201,170.67
XOM UN Equity,Exxon Mobil Corp,2.01393,4211.618,91.45
JPM UN Equity,JPMorgan Chase & Co,1.803881,2913.944,118.39
META UW Equity,Meta Platforms Inc,1.681134,1802.776,178.34
CVX UN Equity,Chevron Corp,1.59962,1963.278,155.82
PFE UN Equity,Pfizer Inc,1.474752,5646.402,49.95
BAC UN Equity,Bank of America Corp,1.28667,7016.488,35.07
TMO UN Equity,Thermo Fisher Scientific Inc,1.063004,343.198,592.35
PG UN Equity,Procter & Gamble Co/The,1.04843,1370.514,146.3
CSCO UW Equity,Cisco Systems Inc,0.99952,4153.681,46.02
DIS UN Equity,Walt Disney Co/The,0.998411,1698.303,112.43
VZ UN Equity,Verizon Communications Inc,0.984489,4198.879,44.84
WMT UN Equity,Walmart Inc,0.972483,1440.156,129.14
NEE UN Equity,NextEra Energy Inc,0.920766,1961.362,89.78
DHR UN Equity,Danaher Corp,0.917552,602.722,291.14
CMCSA UW Equity,Comcast Corp,0.905022,4442.51,38.96
WFC UN Equity,Wells Fargo & Co,0.878226,3788.756,44.33
ABT UN Equity,Abbott Laboratories,0.857355,1486.934,110.27
BMY UN Equity,Bristol-Myers Squibb Co,0.832824,2127.607,74.86
PM UN Equity,Philip Morris International Inc,0.794321,1548.042,98.13
MCD UN Equity,McDonald's Corp,0.763783,558.881,261.36
INTC UW Equity,Intel Corp,0.756091,4088.153,35.37
CRM UN Equity,Salesforce Inc,0.745286,755.695,188.61
RTX UN Equity,Raytheon Technologies Corp,0.725671,1485.552,93.42
CVS UN Equity,CVS Health Corp,0.712476,1309.532,104.05
HD UN Equity,Home Depot Inc/The,0.706336,433.541,311.58
SPGI UN Equity,S&P Global Inc,0.697619,339.307,393.2
MRK UN Equity,Merck & Co Inc,0.684774,1468.316,89.19
T UN Equity,AT&T Inc,0.673584,7152.635,18.01
MDT UN Equity,Medtronic PLC,0.657489,1335.254,94.17
COP UN Equity,ConocoPhillips,0.648693,1292.548,95.98
LIN UN Equity,Linde PLC,0.641476,396.505,309.4
GS UN Equity,Goldman Sachs Group Inc/The,0.604538,332.311,347.91
MS UN Equity,Morgan Stanley,0.592489,1274.722,88.89
BLK UN Equity,BlackRock Inc,0.568442,149.903,725.21
C UN Equity,Citigroup Inc,0.547766,1969.489,53.19
PLD UN Equity,Prologis Inc,0.518537,737.796,134.41
HON UW Equity,Honeywell International Inc,0.49533,480.297,197.23
GOOGL UW Equity,Alphabet Inc,0.488964,781.216,119.7
AXP UN Equity,American Express Co,0.478669,563.547,162.44
MDLZ UW Equity,Mondelez International Inc,0.465303,1380.276,64.47
TMUS UW Equity,T-Mobile US Inc,0.450736,595.144,144.84
GOOG UW Equity,Alphabet Inc,0.4501,713.46,120.65
MMM UN Equity,3M Co,0.442833,566.938,149.38
DUK UN Equity,Duke Energy Corp,0.442642,769.151,110.06
SO UN Equity,Southern Co/The,0.433997,1060.153,78.29
MO UN Equity,Altria Group Inc,0.423284,1809.358,44.74
CB UN Equity,Chubb Ltd,0.421978,421.194,191.6
ELV UN Equity,Elevance Health Inc,0.421837,167.606,481.33
GE UN Equity,General Electric Co,0.416555,1032.717,77.14
GILD UW Equity,Gilead Sciences Inc,0.414027,1254.043,63.14
PYPL UW Equity,PayPal Holdings Inc,0.413929,800.339,98.91
CI UN Equity,Cigna Corp,0.393889,262.406,287.07
BDX UN Equity,Becton Dickinson and Co,0.383475,283.638,258.56
ADI UW Equity,Analog Devices Inc,0.381434,416.65,175.08
CME UW Equity,CME Group Inc,0.371645,358.241,198.4
PNC UN Equity,PNC Financial Services Group Inc/The,0.365395,412.367,169.46
TFC UN Equity,Truist Financial Corp,0.353419,1327.885,50.9
