Ticker,Name,Weight,Shares,Price
SWAV UW Equity,Shockwave Medical Inc,0.381572,35.311,277.41
BHVN UN Equity,Biohaven Pharmaceutical Holding Co Ltd,0.354043,61.783,147.11
GTLS UN Equity,Chart Industries Inc,0.297839,36.434,209.86
ROLL UW Equity,RBC Bearings Inc,0.278657,28.293,252.84
KRTX UQ Equity,Karuna Therapeutics Inc,0.262916,26.071,258.89
SAIA UW Equity,Saia Inc,0.256298,26.348,249.72
MTDR UN Equity,Matador Resources Co,0.249045,111.656,57.26
MUSA UN Equity,Murphy USA Inc,0.24604,22.224,284.21
TXRH UW Equity,Texas Roadhouse Inc,0.24513,67.819,92.79
SSB UW Equity,SouthState Corp,0.241365,74.376,83.31
INSP UN Equity,Inspire Medical Systems Inc,0.234914,26.978,223.54
STAG UN Equity,STAG Industrial Inc,0.23409,178.961,33.58
APLS UW Equity,Apellis Pharmaceuticals Inc,0.233383,90.177,66.44
SAIL UN Equity,Sailpoint Technologies Holdings Inc,0.232009,92.371,64.48
HALO UW Equity,Halozyme Therapeutics Inc,0.231215,134.596,44.1
EME UN Equity,EMCOR Group Inc,0.229995,50.28,117.43
KNSL UN Equity,Kinsale Capital Group Inc,0.227303,21.469,271.8
FFIN UW Equity,First Financial Bankshares Inc,0.226086,128.921,45.02
GBCI UN Equity,Glacier Bancorp Inc,0.225113,110.266,52.41
IRDM UW Equity,Iridium Communications Inc,0.22485,126.336,45.69
ADC UN Equity,Agree Realty Corp,0.224241,73.69,78.12
QLYS UW Equity,Qualys Inc,0.223287,38.723,148.03
EXLS UW Equity,ExlService Holdings Inc,0.219338,32.119,175.31
LNTH UQ Equity,Lantheus Holdings Inc,0.218696,67.773,82.84
CELH UR Equity,Celsius Holdings Inc,0.216825,54.247,102.61
SYNA UW Equity,Synaptics Inc,0.214343,39.349,139.84
CHRD UW Equity,Chord Energy Corp,0.212792,42.034,129.96
ITCI UW Equity,Intra-Cellular Therapies Inc,0.209498,90.863,59.19
LNW UW Equity,Light & Wonder Inc,0.208867,97.067,55.24
NOVT UW Equity,Novanta Inc,0.207984,35.236,151.53
UFPI UW Equity,UFP Industries Inc,0.205908,60.384,87.54
SLAB UW Equity,Silicon Laboratories Inc,0.205623,36.005,146.61
VLY UW Equity,Valley National Bancorp,0.203415,427.334,12.22
ASGN UN Equity,ASGN Inc,0.20256,49.771,104.48
AMN UN Equity,AMN Healthcare Services Inc,0.201338,44.359,116.52
CMC UN Equity,Commercial Metals Co,0.201115,120.041,43.01
UBSI UW Equity,United Bankshares Inc/WV,0.200015,131.424,39.07
BXMT UN Equity,Blackstone Mortgage Trust Inc,0.199955,168.911,30.39
ONB UW Equity,Old National Bancorp/IN,0.198881,290.919,17.55
ROG UN Equity,Rogers Corp,0.194279,18.61,268
HQY UW Equity,HealthEquity Inc,0.194161,82.333,60.54
EXPO UW Equity,Exponent Inc,0.194025,51.134,97.41
NTLA UQ Equity,Intellia Therapeutics Inc,0.193847,74.788,66.54
SWX UN Equity,Southwest Gas Holdings Inc,0.193072,65.484,75.69
BKH UN Equity,Black Hills Corp,0.193062,64.484,76.86
MUR UN Equity,Murphy Oil Corp,0.192604,146.2,33.82
CADE UN Equity,Cadence Bank,0.191634,181.803,27.06
OPCH UW Equity,Option Care Health Inc,0.191381,142.491,34.48
IRT UN Equity,Independence Realty Trust Inc,0.188521,219.885,22.01
LHCG UW Equity,LHC Group Inc,0.188203,29.583,163.32
MEDP UW Equity,Medpace Holdings Inc,0.188034,27.323,176.67
TENB UW Equity,Tenable Holdings Inc,0.187898,109.034,44.24
POR UN Equity,Portland General Electric Co,0.187183,88.757,54.14
ARWR UW Equity,Arrowhead Pharmaceuticals Inc,0.186741,102.086,46.96
RHP UN Equity,Ryman Hospitality Properties Inc,0.186453,53.38,89.67
MQ UW Equity,Marqeta Inc,0.185352,430.617,11.05
TGNA UN Equity,TEGNA Inc,0.184406,221.01,21.42
BE UN Equity,Bloom Energy Corp,0.184334,161.508,29.3
TRNO UN Equity,Terreno Realty Corp,0.183956,73.731,64.05
SIGI UW Equity,Selective Insurance Group Inc,0.182398,59.197,79.1
OMCL UW Equity,Omnicell Inc,0.182102,43.556,107.33
POWI UW Equity,Power Integrations Inc,0.180769,57.363,80.9
ENSG UW Equity,Ensign Group Inc/The,0.180557,53.432,86.75
