Ticker,Name,Weight,Shares,Price
AAPL UW Equity,Apple Inc,7.333626,15375.92195,169.24
MSFT UW Equity,Microsoft Corp,6.094783,7479.033,289.16
AMZN UW Equity,Amazon.com Inc,3.518644,8749.984,142.69
TSLA UW Equity,Tesla Inc,2.088424,839.1681,883.07
GOOGL UW Equity,Alphabet Inc,2.029199,6015.28,119.7
GOOG UW Equity,Alphabet Inc,1.875341,5515.4176,120.65
BRK/B UN Equity,Berkshire Hathaway Inc,1.504663,1809.17584,295.11
UNH UN Equity,UnitedHealth Group Inc,1.421717,938.172,537.72
NVDA UW Equity,NVIDIA Corp,1.277079,2504.014,180.97
JNJ UN Equity,Johnson & Johnson,1.265666,2631.402,170.67
META UW Equity,Meta Platforms Inc,1.152725,2293.519,178.34
XOM UN Equity,Exxon Mobil Corp,1.085682,4212.543,91.45
PG UN Equity,Procter & Gamble Co/The,0.989243,2399.297,146.3
V UN Equity,Visa Inc,0.983719,1645.719,212.1
JPM UN Equity,JPMorgan Chase & Co,0.979943,2937.05,118.39
HD UN Equity,Home Depot Inc/The,0.907399,1033.366,311.58
CVX UN Equity,Chevron Corp,0.862818,1964.813,155.82
MA UN Equity,Mastercard Inc,0.85526,858.77969,353.38
PFE UN Equity,Pfizer Inc,0.789846,5610.896,49.95
ABBV UN Equity,AbbVie Inc,0.701895,1767.11,140.94
BAC UN Equity,Bank of America Corp,0.700745,7090.05528,35.07
KO UN Equity,Coca-Cola Co/The,0.699854,3901.5261,63.65
PEP UW Equity,PepsiCo Inc,0.685586,1382.684,175.94
LLY UN Equity,Eli Lilly & Co,0.677008,788.6328,304.61
COST UW Equity,Costco Wholesale Corp,0.67429,443.224,539.82
TMO UN Equity,Thermo Fisher Scientific Inc,0.653495,391.462,592.35
MRK UN Equity,Merck & Co Inc,0.635632,2528.805,89.19
AVGO UW Equity,Broadcom Inc,0.633315,408.281,550.41
ADBE UW Equity,Adobe Inc,0.583777,472.5,438.4
DIS UN Equity,Walt Disney Co/The,0.577141,1821.484,112.43
ACN UN Equity,Accenture PLC,0.564936,633.401,316.48
MCD UN Equity,McDonald's Corp,0.544728,739.547,261.36
ABT UN Equity,Abbott Laboratories,0.544131,1750.942,110.27
CSCO UW Equity,Cisco Systems Inc,0.538772,4154.168,46.02
DHR UN Equity,Danaher Corp,0.530942,647.09853,291.14
VZ UN Equity,Verizon Communications Inc,0.530704,4199.644,44.84
CRM UN Equity,Salesforce Inc,0.528103,993.526,188.61
WMT UN Equity,Walmart Inc,0.510949,1403.91882,129.14
NEE UN Equity,NextEra Energy Inc,0.497057,1964.5,89.78
CMCSA UW Equity,Comcast Corp,0.490859,4470.57,38.96
TXN UW Equity,Texas Instruments Inc,0.475888,922.134,183.12
WFC UN Equity,Wells Fargo & Co,0.473535,3790.352,44.33
QCOM UW Equity,QUALCOMM Inc,0.46396,1120,146.99
AMD UW Equity,Advanced Micro Devices Inc,0.452356,1620.508,99.05
BMY UN Equity,Bristol-Myers Squibb Co,0.449172,2129.064,74.86
LIN UN Equity,Linde PLC,0.43884,503.282,309.4
PM UN Equity,Philip Morris International Inc,0.428686,1550.11,98.13
UPS UN Equity,United Parcel Service Inc,0.418867,734.438,202.37
UNP UN Equity,Union Pacific Corp,0.417274,628.025,235.76
INTC UW Equity,Intel Corp,0.407593,4089,35.37
NKE UN Equity,NIKE Inc,0.404548,1268.76,113.14
RTX UN Equity,Raytheon Technologies Corp,0.391551,1487.215,93.42
SPGI UN Equity,S&P Global Inc,0.38463,347.1,393.2
CVS UN Equity,CVS Health Corp,0.384522,1311.309,104.05
INTU UW Equity,Intuit Inc,0.38105,282.812,478.09
AMGN UW Equity,Amgen Inc,0.379519,534.2,252.09
HON UW Equity,Honeywell International Inc,0.378377,680.733,197.23
LOW UN Equity,Lowe's Cos Inc,0.375301,661.121,201.43
AMT UN Equity,American Tower Corp,0.363799,464.697,277.79
T UN Equity,AT&T Inc,0.363363,7159,18.01
MDT UN Equity,Medtronic PLC,0.356033,1341.539,94.17
MS UN Equity,Morgan Stanley,0.350572,1399.4272,88.89
COP UN Equity,ConocoPhillips,0.349869,1293.45,95.98
ORCL UN Equity,Oracle Corp,0.344004,1574.21263,77.54
GS UN Equity,Goldman Sachs Group Inc/The,0.336745,343.447,347.91
IBM UN Equity,International Business Machines Corp,0.333327,899.435,131.5
ELV UN Equity,Elevance Health Inc,0.32703,241.085,481.33
PYPL UW Equity,PayPal Holdings Inc,0.322804,1158.04,98.91
NFLX UW Equity,Netflix Inc,0.305641,444.274,244.11
SCHW UN Equity,Charles Schwab Corp/The,0.297267,1508.15731,69.94
ADP UW Equity,Automatic Data Processing Inc,0.297233,417.747,252.47
NOW UN Equity,ServiceNow Inc,0.291622,200.46,516.2
C UN Equity,Citigroup Inc,0.291096,1941.921,53.19
BLK UN Equity,BlackRock Inc,0.291063,142.41282,725.21
LMT UN Equity,Lockheed Martin Corp,0.286998,236.83523,429.99
CAT UN Equity,Caterpillar Inc,0.286683,533.374,190.72
PLD UN Equity,Prologis Inc,0.280411,740.267,134.41
SBUX UW Equity,Starbucks Corp,0.279554,1146.9,86.49
AXP UN Equity,American Express Co,0.279243,609.9786,162.44
DE UN Equity,Deere & Co,0.277227,279.17344,352.36
BA UN Equity,Boeing Co/The,0.264908,556.13784,169.02
AMAT UW Equity,Applied Materials Inc,0.261532,883.395,105.05
ADI UW Equity,Analog Devices Inc,0.258211,523.315,175.08
CI UN Equity,Cigna Corp,0.256682,317.273,287.07
MDLZ UW Equity,Mondelez International Inc,0.251446,1383.924,64.47
ISRG UW Equity,Intuitive Surgical Inc,0.240614,358.957,237.85
TMUS UW Equity,T-Mobile US Inc,0.2405,589.18495,144.84
MMC UN Equity,Marsh & McLennan Cos Inc,0.240013,501.914,169.68
MMM UN Equity,3M Co,0.239566,569.059,149.38
GE UN Equity,General Electric Co,0.239282,1100.665,77.14
DUK UN Equity,Duke Energy Corp,0.238802,769.9,110.06
SO UN Equity,Southern Co/The,0.234434,1062.525,78.29
BKNG UW Equity,Booking Holdings Inc,0.231681,40.623,2023.6899
ZTS UN Equity,Zoetis Inc,0.230862,470.629,174.06
CB UN Equity,Chubb Ltd,0.228791,423.711,191.6
MO UN Equity,Altria Group Inc,0.228288,1810.557,44.74
GILD UW Equity,Gilead Sciences Inc,0.223195,1254.313,63.14
CCI UN Equity,Crown Castle Inc,0.221865,433.032,181.8
TGT UN Equity,Target Corp,0.221113,462.418,169.67
VRTX UW Equity,Vertex Pharmaceuticals Inc,0.213184,255.756,295.77
CSX UW Equity,CSX Corp,0.208704,2174.26,34.06
TJX UN Equity,TJX Cos Inc/The,0.208617,1174.434,63.03
SYK UN Equity,Stryker Corp,0.207909,336.55706,219.2
BDX UN Equity,Becton Dickinson and Co,0.207721,285.065,258.56
CME UW Equity,CME Group Inc,0.200963,359.418,198.4
PGR UN Equity,Progressive Corp/The,0.199264,584.877,120.89
PNC UN Equity,PNC Financial Services Group Inc/The,0.197516,413.581,169.46
REGN UW Equity,Regeneron Pharmaceuticals Inc,0.195299,108.028,641.49
NOC UN Equity,Northrop Grumman Corp,0.194836,146.1183,473.14
LRCX UW Equity,Lam Research Corp,0.19349,138.715,494.95
MU UW Equity,Micron Technology Inc,0.193226,1116.667,61.4
TFC UN Equity,Truist Financial Corp,0.190988,1331.414,50.9
CL UN Equity,Colgate-Palmolive Co,0.189723,837.942,80.34
D UN Equity,Dominion Energy Inc,0.1878,811.27,82.14
WM UN Equity,Waste Management Inc,0.183086,381.99044,170.07
USB UN Equity,US Bancorp,0.182399,1352.0234,47.87
EQIX UW Equity,Equinix Inc,0.181991,91.022,709.46
EW UN Equity,Edwards Lifesciences Corp,0.181987,621.752,103.86
EOG UN Equity,EOG Resources Inc,0.179906,585.713,108.99
ATVI UW Equity,Activision Blizzard Inc,0.178286,781.881,80.91
AON UN Equity,Aon PLC,0.178199,212.384,297.72
EL UN Equity,Estee Lauder Cos Inc/The,0.178018,231.805,272.5
FISV UW Equity,Fiserv Inc,0.174674,581.7546,106.54
HUM UN Equity,Humana Inc,0.173252,126.493,486
NSC UN Equity,Norfolk Southern Corp,0.173003,238.333,257.57
F UN Equity,Ford Motor Co,0.172498,3948.913,15.5
FIS UN Equity,Fidelity National Information Services I,0.171922,610.771,99.88
ITW UN Equity,Illinois Tool Works Inc,0.170487,283.41313,213.45
MRNA UW Equity,Moderna Inc,0.169956,346.0512,174.27
BSX UN Equity,Boston Scientific Corp,0.168647,1429.571,41.86
ETN UN Equity,Eaton Corp PLC,0.167928,399,149.34
ICE UN Equity,Intercontinental Exchange Inc,0.16685,558.266,106.05
APD UN Equity,Air Products and Chemicals Inc,0.16602,221.773,265.63
SHW UN Equity,Sherwin-Williams Co/The,0.164392,239.32052,243.74
DG UN Equity,Dollar General Corp,0.164022,228.785,254.39
SNPS UW Equity,Synopsys Inc,0.162106,153.099,375.71
OXY UN Equity,Occidental Petroleum Corp,0.157725,890.33145,62.86
KLAC UW Equity,KLA Corp,0.15751,149.235,374.51
CNC UN Equity,Centene Corp,0.156296,584.887,94.82
FDX UN Equity,FedEx Corp,0.156203,238.44376,232.45
GM UN Equity,General Motors Co,0.155938,1458.023,37.95
CHTR UW Equity,Charter Communications Inc,0.151027,115.82202,462.69
GD UN Equity,General Dynamics Corp,0.149703,230.49515,230.46
PSA UN Equity,Public Storage,0.148904,152.71023,345.99
MCK UN Equity,McKesson Corp,0.147322,145.365,359.61
AEP UW Equity,American Electric Power Co Inc,0.146667,513.544,101.34
EMR UN Equity,Emerson Electric Co,0.146544,594,87.54
MCO UN Equity,Moody's Corp,0.145906,160.515,322.54
MPC UN Equity,Marathon Petroleum Corp,0.145115,540.995,95.18
CDNS UW Equity,Cadence Design Systems Inc,0.144814,275.759,186.34
SRE UN Equity,Sempra Energy,0.144807,314.305,163.48
SLB UN Equity,Schlumberger NV,0.139102,1413.461,34.92
HCA UN Equity,HCA Healthcare Inc,0.138963,227.52268,216.72
ADSK UW Equity,Autodesk Inc,0.138743,217.527,226.32
PXD UN Equity,Pioneer Natural Resources Co,0.13812,225.02187,217.8
ORLY UW Equity,O'Reilly Automotive Inc,0.133332,65.725,719.83
NXPI UW Equity,NXP Semiconductors NV,0.133172,262.565,179.97
ADM UN Equity,Archer-Daniels-Midland Co,0.132576,562.708,83.6
APH UN Equity,Amphenol Corp,0.131819,597.139,78.33
