,ticker
0,V
1,MA
2,ACN
3,MSFT
4,GOOGL
5,META
6,ADBE
7,CRM
8,IBM
9,ORCL
10,INTU
11,ADP
12,PYPL
13,BRK/B
14,AAPL
15,NFLX
16,NOW
17,UNH
18,ATVI
19,FIS
20,PANW
21,SNPS
22,CDNS
23,ADSK
24,UBER
25,SNOW
26,ROP
27,CRWD
28,FTNT
29,CTSH
30,ABNB
31,EA
32,TWTR
33,VRSK
34,TMO
35,EBAY
36,MELI
37,PG
38,ABT
39,WDAY
40,RTX
41,UNP
42,UPS
43,DHR
44,NOH
45,TEAM
46,ZM
47,LMT
48,KO
49,DDOG
50,PEP
51,CAT
52,CVS
53,JPM
54,MDT
55,BA
56,DE
57,ELV
58,SPGI
59,SNAP
60,TWLO
61,WMT
62,NVDA
63,BAC
64,CI
65,PM
66,LIN
67,COIN
68,ISRG
69,AMZN
70,VZ
71,BDX
72,SYK
73,EW
74,WFC
75,JNJ
76,HUM
77,BSX
78,T
79,MDLZ
80,CSNO
81,CNC
82,XOM
83,QCOM
84,MS
85,MO
86,TSLA
87,HCA
88,AVGO
89,INTC
90,TXN
91,C
92,PFE
93,GS
94,SCHW
95,CL
96,AMD
97,ABBV
98,LLY
99,EL
100,CVX
101,A
102,BAX
103,MRK
104,IDXX
105,TMUS
106,SHW
107,RMD
108,CERN
109,DXCM
110,VEEV
111,ILMN
112,APD
113,KMB
114,AMAT
115,HD
116,FCX
117,NEM
118,ECL
119,ALGN
120,CHTR
121,MU
122,DOW
123,DD
124,COP
125,PPG
126,DIS
127,BALL
128,OXY
129,MPC
130,PXD
131,EOG
132,SLB
133,KMI
134,PSX
135,LBTYA
136,LUMN
137,FYBR
138,CABO
139,VG
140,NEE
141,ATUS
142,DUK
143,SO
144,PLTR
145,SQ
146,WMB
147,DOCU
148,ZBH
149,LBTYK
150,ADI
151,MMM
152,USD
153,MTCH
154,ALB
